Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Восточно-Сибирской ж.д. (код дороги 92),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 92-001 ""ТАЙШЕТ - ИРКУТСК-ПАССАЖИРСКИЙ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Тайшет,до ст. Иркутск-Пассажирский,,,,,,,,,,,
 65.,934221 .,Танхой, 234  км , 222  км ,,,,,,,,,,,
 66.,934236 .,ОП Ост. Пункт 5422 км, 236  км , 220  км ,,,,,,,,,,,
 67.,934217 .,ОП Речка-Переемная, 238  км , 218  км ,,,,,,,,,,,
 68.,934330 .,Переемная, 245  км , 211  км ,,,,,,,,,,,
 69.,934382 .,ОП Осиновка, 254  км , 202  км ,,,,,,,,,,,
 70.,934359 .,ОП Прибой, 258  км , 198  км ,,,,,,,,,,,
 71.,934344 .,ОП Ост. Пункт 5451 км, 265  км , 191  км ,,,,,,,,,,,
 72.,934310 .,ОП Речка-Мишиха, 267  км , 189  км ,,,,,,,,,,,
 73.,934325 .,Мишиха, 271  км , 185  км ,,,,,,,,,,,
 74.,934414 .,ОП Коврижка, 277  км , 179  км ,,,,,,,,,,,
 75.,934503 .,Клюевка, 282  км , 174  км ,,,,,,,,,,,
 76.,934518 .,ОП Клюевка, 283  км , 173  км ,,,,,,,,,,,
 77.,934522 .,ОП Ост. Пункт 5470 км, 285  км , 171  км ,,,,,,,,,,,
 78.,934607 .,Мысовая, 292  км , 164  км ,,,,,,,,,,,
 79.,934611 .,ОП Тельная, 297  км , 159  км ,,,,,,,,,,,
 80.,934626 .,ОП Гремячий, 301  км , 155  км ,,,,,,,,,,,
 81.,934630 .,ОП Мантуриха, 304  км , 152  км ,,,,,,,,,,,
 82.,934645 .,ОП Сухой Ручей, 308  км , 148  км ,,,,,,,,,,,
 83.,934659 .,Боярский, 314  км , 142  км ,,,,,,,,,,,
 84.,934664 .,ОП Поворот, 317  км , 139  км ,,,,,,,,,,,
 85.,934679 .,ОП Култушная, 321  км , 135  км ,,,,,,,,,,,
 86.,934582 .,ОП Абрамиха, 323  км , 133  км ,,,,,,,,,,,
 87.,934683 .,ОП Байкальский Прибой, 327  км , 129  км ,,,,,,,,,,,
 88.,934715 .,ОП Большая Речка, 336  км , 120  км ,,,,,,,,,,,
 89.,934700 .,Посольская, 339  км , 117  км ,,,,,,,,,,,
 90.,934734 .,ОП Песчаный Карьер, 340  км , 116  км ,,,,,,,,,,,
 91.,934768 .,ОП Еловка, 353  км , 103  км ,,,,,,,,,,,
 92.,934749 .,ОП Речка-Тимлюй, 354  км , 102  км ,,,,,,,,,,,
 93.,934804 .,Тимлюй, 358  км ,  98  км ,,,,,,,,,,,
 94.,934819 .,ОП Нюки, 364  км ,  92  км ,,,,,,,,,,,
 95.,934823 .,ОП Береговой, 368  км ,  88  км ,,,,,,,,,,,
 96.,934842 .,ОП Ост. Пункт 5560 км, 375  км ,  81  км ,,,,,,,,,,,
 97.,934908 .,Селенга, 376  км ,  80  км ,,,,,,,,,,,
 98.,934912 .,ОП Первая Площадка, 379  км ,  77  км ,,,,,,,,,,,
 99.,934927 .,ОП Таракановка, 384  км ,  72  км ,,,,,,,,,,,
100.,934931 .,ОП Мостовка, 388  км ,  68  км ,,,,,,,,,,,
101.,934946 .,ОП Старая Таловка, 393  км ,  63  км ,,,,,,,,,,,
102.,935008 .,Таловка, 397  км ,  59  км ,,,,,,,,,,,
103.,935012 .,ОП Троицкое, 399  км ,  57  км ,,,,,,,,,,,
104.,935101 .,Лесовозный (пп), 405  км ,  51  км ,,,,,,,,,,,
105.,935116 .,ОП Ильинка, 408  км ,  48  км ,,,,,,,,,,,
106.,935205 .,Татаурово, 418  км ,  38  км ,,,,,,,,,,,
107.,935216 .,ОП Мандрик, 425  км ,  31  км ,,,,,,,,,,,
108.,935224 .,ОП Перевал Мандрик, 428  км ,  28  км ,,,,,,,,,,,
109.,935243 .,ОП Колос, 429  км ,  27  км ,,,,,,,,,,,
110.,935258 .,ОП Петуховка, 430  км ,  26  км ,,,,,,,,,,,
111.,935309 .,Мостовой, 434  км ,  22  км ,,,,,,,,,,,
112.,935328 .,ОП Сосновый Бор, 435  км ,  21  км ,,,,,,,,,,,
113.,935332 .,ОП Учитель, 439  км ,  17  км ,,,,,,,,,,,
114.,935347 .,ОП Солнечная, 440  км ,  16  км ,,,,,,,,,,,
