Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Алфавитный список МОРСКИХ портов, производящих ПЕРЕВАЛКУ грузов с железных дорог на морской транспорт и обратно",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
№ п/п,Порт,Параграфы,Пароходство,ж.д. Станция,Дорога,Расстояния до ТП,,,,,,,,,,,,,,
  127.,Рижский порт,§ 1,Латвийское,096501  Саркандаугава,09  Лат,Земитаны (095000) - 3 км,,,,,,,,,,,,,,
  128.,Рижский порт,"§ 1, 7",Латвийское,096408  Мангали,09  Лат,Земитаны (095000) - 6 км,,,,,,,,,,,,,,
  129.,Рижский порт,§ 1,Латвийское,096304  Зиемельблазма,09  Лат,Земитаны (095000) - 9 км,,,,,,,,,,,,,,
  130.,Рижский порт,§ 1,Латвийское,096906  Ильгюциемс,09  Лат,,,,,,,,,,,,,,,
  131.,Рижский порт,"§ 1, 7",Латвийское,097006  Болдерая,09  Лат,,,,,,,,,,,,,,,
  132.,Рижский порт,"§ 1, 7",Латвийское,090505  Рига-Краста,09  Лат,,,,,,,,,,,,,,,
  133.,Ростов-на-Дону ООО,1,,510702  Заречная,51  С-Кав (Р),"Батайск (510007) - 8 км, Ростов-Главный (510204) - 2 км",,,,,,,,,,,,,,
,"""ВнешТоргПорт""",,,,,,,,,,,,,,,,,,,
  134.,Ростов-на-Дону ООО Донской,"§ 1,7",-,510702  Заречная,51  С-Кав (Р),"Батайск (510007) - 8 км, Ростов-Главный (510204) - 2 км",,,,,,,,,,,,,,
,Порт,,,,,,,,,,,,,,,,,,,
  135.,Санкт-Петербург,"§ 1, 7",ОАО «Морской порт»,035508  Автово,01  Окт (Р),Санкт-Петербургский узел (000023) - 0 км,,,,,,,,,,,,,,
  136.,Санкт-Петербург,"§ 1, 7",ОАО «Морской порт»,035809  Новый Порт,01  Окт (Р),Санкт-Петербургский узел (000023) - 0 км,,,,,,,,,,,,,,
  137.,Северный порт Палдиски,§ 1,,081101  Палдиски,08  Эст,,,,,,,,,,,,,,,
  138.,Силламяэ,§ 1,,083605  Вайвара,08  Эст,,,,,,,,,,,,,,,
  139.,Сочи,§ 2,,532909  Сочи,51  С-Кав (Р),"Веселое (эксп.) (532608) - 34 км, Туапсе-Сортировочная (533403) - 82 км",,,,,,,,,,,,,,
  140.,Таганрог,"§ 1, 7",,511508  Таганрог,51  С-Кав (Р),,,,,,,,,,,,,,,
  141.,Тамань ООО,-,-,523204  Вышестеблиевская,51  С-Кав (Р),"Тимашевская (516200) - 209 км, Крымская (521603) - 105 км",,,,,,,,,,,,,,
,"""ОТЭКО-Портсервис""",,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,,,,,,,,,,
  142.,Темрюк,"§ 1, 7",,523007  Темрюк,51  С-Кав (Р),"Тимашевская (516200) - 202 км, Крымская (521603) - 98 км",,,,,,,,,,,,,,
