Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Южно-Уральской ж.д. (код дороги 80),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 80-001 ""КРОПАЧЕВО - БЕРДЯУШ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Кропачево,до ст. Бердяуш,,,,,,,,,,,
 53.,828549 .,ОП Ост. Пункт 2356 км, 246  км ,   3  км ,,,,,,,,,,,
 54.,828501 .,Курган, 249  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  9) участок 80-010 ""КУРГАН - УТЯК"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Курган,до ст. Утяк,,,,,,,,,,,
  1.,828501 .,Курган,   0  км ,  20  км ,,,,,,,,,,,
  2.,828516 .,ОП Мало-Чаусовский переезд,   6  км ,  14  км ,,,,,,,,,,,
  3.,828520 .,Камчиха (обп),   8  км ,  12  км ,,,,,,,,,,,
  4.,828535 .,ОП Микрорайон Керамзитный,  12  км ,   8  км ,,,,,,,,,,,
  5.,828569 .,ОП СНТ Наука,  14  км ,   6  км ,,,,,,,,,,,
  6.,812626 .,ОП Ост. Пункт 2374 км,  17  км ,   3  км ,,,,,,,,,,,
  7.,827000 .,Утяк,  20  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 10) участок 80-011 ""УТЯК - ПЕТРОПАВЛОВСК (ЭКСП.)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Утяк,до ст. Петропавловск (эксп.),,,,,,,,,,,
  1.,827000 .,Утяк,   0  км , 247  км ,,,,,,,,,,,
  2.,826949 .,ОП Путевая Станция,   2  км , 245  км ,,,,,,,,,,,
  3.,826968 .,ОП Колесниковский,   4  км , 243  км ,,,,,,,,,,,
  4.,826934 .,ОП СНТ Незабудка,   5  км , 242  км ,,,,,,,,,,,
  5.,826953 .,ОП Ост. Пункт 2386 км,   9  км , 238  км ,,,,,,,,,,,
  6.,826929 .,ОП Ост. Пункт 2389 км,  12  км , 235  км ,,,,,,,,,,,
  7.,826915 .,Роза (обп),  13  км , 234  км ,,,,,,,,,,,
  8.,826900 .,Варгаши,  19  км , 228  км ,,,,,,,,,,,
  9.,829030 .,ОП Ост. Пункт 2407 км,  30  км , 217  км ,,,,,,,,,,,
 10.,829044 .,ОП Ост. Пункт 2408 км,  31  км , 216  км ,,,,,,,,,,,
 11.,826879 .,ОП Ост. Пункт 2412 км,  35  км , 212  км ,,,,,,,,,,,
 12.,826845 .,Юрахлы (обп),  39  км , 208  км ,,,,,,,,,,,
 13.,826883 .,ОП Ост. Пункт 2422 км,  45  км , 202  км ,,,,,,,,,,,
 14.,826830 .,ОП Ост. Пункт 2425 км,  48  км , 199  км ,,,,,,,,,,,
 15.,826826 .,Кравцево (обп),  52  км , 195  км ,,,,,,,,,,,
 16.,826811 .,ОП Ост. Пункт 2433 км,  56  км , 191  км ,,,,,,,,,,,
 17.,806593 .,ОП Ост. Пункт 2436 км,  60  км , 187  км ,,,,,,,,,,,
 18.,826807 .,Лебяжья-Сибирская,  64  км , 183  км ,,,,,,,,,,,
 19.,826741 .,ОП Ост. Пункт 2449 км,  70  км , 177  км ,,,,,,,,,,,
 20.,826756 .,ОП Ост. Пункт 2451 км,  72  км , 175  км ,,,,,,,,,,,
 21.,826760 .,ОП Ост. Пункт 2455 км,  76  км , 171  км ,,,,,,,,,,,
 22.,826718 .,Баксары,  80  км , 167  км ,,,,,,,,,,,
 23.,826775 .,ОП Ост. Пункт 2467 км,  89  км , 158  км ,,,,,,,,,,,
 24.,826722 .,Коновалово,  94  км , 153  км ,,,,,,,,,,,
 25.,826633 .,ОП Ост. Пункт 2481 км, 103  км , 144  км ,,,,,,,,,,,
 26.,826629 .,ОП Ост. Пункт 2485 км, 106  км , 141  км ,,,,,,,,,,,
 27.,826614 .,ОП Ост. Пункт 2486 км, 107  км , 140  км ,,,,,,,,,,,
 28.,826600 .,Макушино, 111  км , 136  км ,,,,,,,,,,,
 29.,826544 .,ОП Ост. Пункт 2498 км, 120  км , 127  км ,,,,,,,,,,,
 30.,826525 .,Обг. Пункт 18 км, 126  км , 121  км ,,,,,,,,,,,
 31.,826533 .,ОП Ост. Пункт 2508 км, 130  км , 117  км ,,,,,,,,,,,
 32.,826510 .,ОП Ост. Пункт 2512 км, 134  км , 113  км ,,,,,,,,,,,
 33.,826506 .,Пьянково, 136  км , 111  км ,,,,,,,,,,,
 34.,826436 .,ОП Ост. Пункт 2523 км, 144  км , 103  км ,,,,,,,,,,,
 35.,826421 .,ОП Ворокосово, 147  км , 100  км ,,,,,,,,,,,
 36.,826417 .,ОП Ост. Пункт 2531 км, 152  км ,  95  км ,,,,,,,,,,,
 37.,826402 .,Петухово, 158  км ,  89  км ,,,,,,,,,,,
 38.,826328 .,ОП Ост. Пункт 2541 км, 162  км ,  85  км ,,,,,,,,,,,
 39.,826390 .,ОП Ост. Пункт 2543 км, 164  км ,  83  км ,,,,,,,,,,,
 40.,826313 .,ОП Сочино, 169  км ,  78  км ,,,,,,,,,,,
 41.,826332 .,Горбуново, 179  км ,  68  км ,,,,,,,,,,,
 42.,826224 .,ОП Ост. Пункт 2564 км, 185  км ,  62  км ,,,,,,,,,,,
 43.,826214 .,ОП Орленок, 191  км ,  56  км ,,,,,,,,,,,
 44.,826239 .,ОП Ост. Пункт 2574 км, 196  км ,  51  км ,,,,,,,,,,,
 45.,826243 .,ОП Ост. Пункт 2579 км, 201  км ,  46  км ,,,,,,,,,,,
 46.,826205 .,Мамлютка, 203  км ,  44  км ,,,,,,,,,,,
 47.,826116 .,ОП Ост. Пункт 2586 км, 208  км ,  39  км ,,,,,,,,,,,
 48.,826120 .,ОП Ост. Пункт 2591 км, 213  км ,  34  км ,,,,,,,,,,,
