Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Алфавитный список портов ВНУТРЕННЕГО ВОДНОГО транспорта, включённых в прямое смешанное железнодорожно-водное сообщение",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
№ п/п,Порт,Параграфы,Бассейн,Водоём,Операции,"Масса груза, т",,,,,,,,,,,,,,
  217.,Вишневка,§7,,Кама,О,,,,,,,,,,,,,,,
  218.,Владимировка,§7,,Амур,О,,,,,,,,,,,,,,,
  219.,Владимировка,§7,,Зея,О,,,,,,,,,,,,,,,
  220.,Владимирово,§4,,Урал,О,,,,,,,,,,,,,,,
  221.,Вознесенка,§4,,Чулым,ОП,,,,,,,,,,,,,,,
  222.,Вознесенье,§4,,Свирь,ОП,,,,,,,,,,,,,,,
  223.,Волгоград,"§1,2,3,4",,Волга,ОП,5,,,,,,,,,,,,,,
  224.,Волгоград (Волжский),"§1,2,3,4,7",,Волга,ОП,27,,,,,,,,,,,,,,
  225.,Волгоград (Красноармейск),§4,,Волга,ОП,,,,,,,,,,,,,,,
  226.,Волжск (Лопатино),§4,,Куйбышевское водохранилище,ОП,,,,,,,,,,,,,,,
  227.,Волжский Проспект,§7,,Волга,О,,,,,,,,,,,,,,,
  228.,Вологда,"§1,2,3,4",,Вологда,ОП,50,,,,,,,,,,,,,,
  229.,Вологда Промхимпорт,"§1,2,3,4",,Вологда,ОП,10,,,,,,,,,,,,,,
  230.,Володаровка,§4,,Таловка,О,,,,,,,,,,,,,,,
  231.,Володарское,§4,,Обь,П,,,,,,,,,,,,,,,
  232.,Волоков Мост,§4,,Волго-Балтийский канал,О,,,,,,,,,,,,,,,
  233.,Волховстрой,§4,,Волхов,П,,,,,,,,,,,,,,,
  234.,Вольск,"§1,3,4",,Волга,ОП,5,,,,,,,,,,,,,,
  235.,Воробьи,§4,,Вятка,ОП,,,,,,,,,,,,,,,
  236.,Воронино,§4,,Юг,ОП,,,,,,,,,,,,,,,
  237.,Воскресенка,"§4,5",,Шилка,П,,,,,,,,,,,,,,,
  238.,Воскресенск,§4,,Москва,ОП,,,,,,,,,,,,,,,
  239.,Воскресенск-Ветлужский,§4,,Ветлуга,ОП,,,,,,,,,,,,,,,
  240.,Воскресенск-Саратовский,"§1,4",,Волга,ОП,,,,,,,,,,,,,,,
  241.,Восточная Идель,§4,,Беломорско-Балтийский канал,ОП,,,,,,,,,,,,,,,
  242.,Вострецово,§4,,Белая,ОП,,,,,,,,,,,,,,,
  243.,Восьмое Февраля,§4,,Клязьма,ОП,,,,,,,,,,,,,,,
  244.,Вотикеево,§7,,Уфа,О,,,,,,,,,,,,,,,
  245.,Вуктыл,"§3,4,5",,Печора,П,5,,,,,,,,,,,,,,
  246.,Выемково,§7,,Вычегда,О,,,,,,,,,,,,,,,
  247.,Выкатное,"§4,5",,Конда,ОП,,,,,,,,,,,,,,,
  248.,Выла,§4,,Сура,О,,,,,,,,,,,,,,,
  249.,Высокая,"§4,5",,Зея,П,,,,,,,,,,,,,,,
  250.,Вытегра,"§1,3,4",,Волго-Балтийский канал,ОП,5,,,,,,,,,,,,,,
  251.,Вязники,§4,,Клязьма,ОП,,,,,,,,,,,,,,,
  252.,Вязовые,§4,,Куйбышевское водохранилище,П,,,,,,,,,,,,,,,
  253.,Гаврилова Поляна,§7,,Волга,О,,,,,,,,,,,,,,,
  254.,Гагали,§4,,Березина,О,,,,,,,,,,,,,,,
  255.,Газ-Сале,"§4,5",,Таз,ОП,5,,,,,,,,,,,,,,
  256.,Гайны,§4,,Кама,ОП,,,,,,,,,,,,,,,
  257.,Гайшин,§4,,Сож,О,,,,,,,,,,,,,,,
  258.,Галанино,§4,,Енисей,ОП,,,,,,,,,,,,,,,
  259.,Галиевка,"§3,4",,Дон,ОП,5,,,,,,,,,,,,,,
,,"Грузы, следующие назначением в Галиевку и отправляемые с этой пристани, переваливаются с железной дороги на воду и с воды на железную дорогу только в порту Лиски.",,,,,,,,,,,,,,,,,,
  260.,Галицы,§4,,Клязьма,ОП,,,,,,,,,,,,,,,
  261.,Гальяны,"§4,7",,Воткинское водохранилище,О,,,,,,,,,,,,,,,
  262.,Гашково,§4,,Кама,О,,,,,,,,,,,,,,,
  263.,Гелгаудишкис,§4,,Нямунас,ОП,,,,,,,,,,,,,,,
  264.,Геологический,"§3,4,5",,Большая Хета,ОП,,,,,,,,,,,,,,,
,,"Пункт Геологический открыт по отправлению только для грузов в контейнерах, погрузка и выгрузка которых производится на причалах грузовладельцев их силами и средствами.",,,,,,,,,,,,,,,,,,
  265.,Глушицы,§4,,Клязьма,ОП,,,,,,,,,,,,,,,
  266.,Головино,"§4,5",,Амур,П,,,,,,,,,,,,,,,
  267.,Голоустное,§4,,оз. Байкал,О,,,,,,,,,,,,,,,
  268.,Голуби,§4,,Сухона,ОП,,,,,,,,,,,,,,,
