Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Алфавитный список портов ВНУТРЕННЕГО ВОДНОГО транспорта, включённых в прямое смешанное железнодорожно-водное сообщение",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
№ п/п,Порт,Параграфы,Бассейн,Водоём,Операции,"Масса груза, т",,,,,,,,,,,,,,
 1160.,Тарко-Сале,§5,,Пякупур,О,5,,,,,,,,,,,,,,
 1161.,Тарловка,§7,,Кама,О,,,,,,,,,,,,,,,
 1162.,Тас-Тумус,"§4,5",,Лена,П,,,,,,,,,,,,,,,
 1163.,Таскино,"§4,5",,Селемджа,П,,,,,,,,,,,,,,,
 1164.,Татьянка,"§4,7",,Волга,ОП,,,,,,,,,,,,,,,
 1165.,Тахта,"§4,5",,Амур,П,,,,,,,,,,,,,,,
 1166.,Ташара,"§ 2,7",,Обь,ОП,10,,,,,,,,,,,,,,
 1167.,Ташлык,§7,Министерство транспорта и,Днестр,О,,,,,,,,,,,,,,,
,,,связи Республики Молдова,,,,,,,,,,,,,,,,,
 1168.,Тевриз,§4,,Иртыш,ОП,,,,,,,,,,,,,,,
 1169.,Тегульдет,"§4,5",,Чулым,ОП,,,,,,,,,,,,,,,
 1170.,Теньки,§4,,Куйбышевское водохранилище,ОП,,,,,,,,,,,,,,,
 1171.,Тетерино,§4,,Камское водохранилище,П,,,,,,,,,,,,,,,
 1172.,Тетюши,§4,,Волга,ОП,,,,,,,,,,,,,,,
 1173.,Тикси,"§3,4,5",,Море Лаптевых,ОП,,,,,,,,,,,,,,,
 1174.,Тимирязевка,§7,,Томь,О,,,,,,,,,,,,,,,
 1175.,Тимошино,"§1,4",,Северная Двина,П,,,,,,,,,,,,,,,
 1176.,Титов,§4,,Дон,П,,,,,,,,,,,,,,,
 1177.,Тихие Горы,"§1,3,4,7",,Кама,ОП,5,,,,,,,,,,,,,,
,,Погрузку и выгрузку контейнеров в Тихих Горах грузовладелец-химкомбинат им. Карпова обязан производить своими силами и средствами на своем причале.,,,,,,,,,,,,,,,,,,
 1178.,Тнейвах,"§4,5",,Лиман реки Амур,П,,,,,,,,,,,,,,,
 1179.,Тобольск,"§1,2,3,4",,Иртыш,ОП,100,,,,,,,,,,,,,,
 1180.,Тогур,§4,,Кеть,О,,,,,,,,,,,,,,,
 1181.,Токко,"§4,5",,Чара,П,,,,,,,,,,,,,,,
 1182.,Толстое,§4,,Свирь,О,,,,,,,,,,,,,,,
 1183.,Тольятти,"§1,2,3,4",,Волга,ОП,100,,,,,,,,,,,,,,
 1184.,Томск,"§1,2,4,7",,Томь,ОП,40,,,,,,,,,,,,,,
 1185.,Топорня,§4,,Шексна,ОП,,,,,,,,,,,,,,,
 1186.,Тотьма,"§1,3,4",,Сухона,ОП,5,,,,,,,,,,,,,,
 1187.,Травино,§4,,Иванчуг,П,,,,,,,,,,,,,,,
 1188.,Трехостровская,§4,,Дон,ОП,,,,,,,,,,,,,,,
 1189.,Троица,"§1,4",,Северная Двина,ОП,,,,,,,,,,,,,,,
 1190.,Троица,§4,,Сылва,П,,,,,,,,,,,,,,,
 1191.,Троицкий Урай,§7,,Кама,О,,,,,,,,,,,,,,,
 1192.,Троицко-Печорск,"§3,4",,Печора,ОП,5,,,,,,,,,,,,,,
 1193.,Троицкое,§4,,Ветлуга,П,,,,,,,,,,,,,,,
 1194.,Троицкое,"§3,4",,Амур,ОП,,,,,,,,,,,,,,,
 1195.,Троицкое,"§4,5",,Обь,П,,,,,,,,,,,,,,,
 1196.,Трудфронт,§4,,Бахтемир,ОП,,,,,,,,,,,,,,,
 1197.,Тудорово,"§4,5",Министерство транспорта и,Днестр,П,,,,,,,,,,,,,,,
,,,связи Республики Молдова,,,,,,,,,,,,,,,,,
 1198.,Тузлуков,§4,,Маныч,ОП,,,,,,,,,,,,,,,
 1199.,Тумак,§4,,Бушма,О,,,,,,,,,,,,,,,
 1200.,Тура,"§4,5",,Нижняя Тунгуска,П,,,,,,,,,,,,,,,
 1201.,Тураево,§7,,Кама,О,,,,,,,,,,,,,,,
 1202.,Турек,§4,,Вятка,ОП,,,,,,,,,,,,,,,
 1203.,Туров,§4,Верхнеднепровский,Припять,ОП,,,,,,,,,,,,,,,
 1204.,Туруханск,"§3,4",,Нижняя Тунгуска,П,,,,,,,,,,,,,,,
 1205.,Тутаево,"§1,4,7",,Волга,ОП,,,,,,,,,,,,,,,
 1206.,Тухарт,"§3,4,5",,Большая Хета,ОП,,,,,,,,,,,,,,,
,,"Тухарт открыт по отправлению только грузов в контейнерах, погрузка и выгрузка которых производится на причалах грузовладельцев их силами и средствами.",,,,,,,,,,,,,,,,,,
 1207.,Тыгда,"§4,5",,Зея,П,,,,,,,,,,,,,,,
 1208.,Тюлькино,"§1,4",,Камское водохранилище,ОП,10,,,,,,,,,,,,,,
 1209.,Тюмень,"§1,2,3,4",,Тура,Оп,10,,,,,,,,,,,,,,
 1210.,Тюп,"1,2,4,5",Иссык-Кульский,оз. Иссык-Куль,ОП,,,,,,,,,,,,,,,
 1211.,Убинск,§4,Восточно-Казахстанский,Иртыш,ОП,,,,,,,,,,,,,,,
 1212.,Уват,"§4,5",,Иртыш,ОП,,,,,,,,,,,,,,,
 1213.,Углич,"§1,2,4",,Волга,ОП,5,,,,,,,,,,,,,,
 1214.,Удельно-Дуваней,§7,,Белая,О,,,,,,,,,,,,,,,
 1215.,Узкие Салми,§4,,оз. Онежское,О,,,,,,,,,,,,,,,
 1216.,Уксун Салми,§4,,оз. Ладожское,О,,,,,,,,,,,,,,,
 1217.,Уктыча,"§4,5",,Шилка,П,,,,,,,,,,,,,,,
 1218.,Укулан (Томмот),"§4,5",,Алдан,П,,,,,,,,,,,,,,,
 1219.,Ульяновск,"§1,2,3,4",,Волга,ОП,27,,,,,,,,,,,,,,
 1220.,Ундоры,§4,,Куйбышевское водохранилище,О,,,,,,,,,,,,,,,
 1221.,Урай,"§3,4,5",,Конда,ОП,5,,,,,,,,,,,,,,
 1222.,Уральск,"§2,4",,Урал,ОП,,,,,,,,,,,,,,,
 1223.,Уренгой,"§1,2,3,4,5",,Пур,О,20,,,,,,,,,,,,,,
 1224.,Уртам,"§4,5",,Обь,П,,,,,,,,,,,,,,,
 1225.,Уршак,§7,,Белая,О,,,,,,,,,,,,,,,
 1226.,Урюпино,"§4,5",,Аргунь,П,,,,,,,,,,,,,,,
 1227.,Усинск,"§3,4,5",,Уса,П,5,,,,,,,,,,,,,,
 1228.,Усовка,§4,,Волга,П,,,,,,,,,,,,,,,
 1229.,Усолье,§4,,Ангара,П,,,,,,,,,,,,,,,
 1230.,Усть-Баргузин,"§3,4",,оз. Байкал,ОП,5,,,,,,,,,,,,,,
 1231.,Усть-Белокалитвенская,§4,,Северский Донец,ОП,,,,,,,,,,,,,,,
 1232.,Усть-Бузулук,§4,,Хопер,О,,,,,,,,,,,,,,,
 1233.,Усть-Быстрянская,§4,,Северский Донец,ОП,,,,,,,,,,,,,,,
 1234.,Усть-Ваеньга,"§1,4",,Северная Двина,ОП,,,,,,,,,,,,,,,
 1235.,Усть-Вашка,"§3,4",,Вашка,ОП,5,,,,,,,,,,,,,,
 1236.,Усть-Виледь,§4,,Вычегда,ОП,,,,,,,,,,,,,,,
 1237.,Усть-Воя,"§4,5",,Печора,ОП,,,,,,,,,,,,,,,
 1238.,Усть-Вымь,§4,,Вычегда,ОП,,,,,,,,,,,,,,,
 1239.,Усть-Гайва,"§4,7",,Воткинское водохранилище,ОП,,,,,,,,,,,,,,,
 1240.,Усть-Гаревая,"§1,4",,Камское водохранилище,ОП,,,,,,,,,,,,,,,
 1241.,Усть-Донецкий,"§1,2,3,4",,Северский Донец,ОП,16,,,,,,,,,,,,,,
 1242.,Усть-Илыч,"§4,5",,Печора,П,,,,,,,,,,,,,,,
 1243.,Усть-Ишим,§4,,Иртыш,ОП,,,,,,,,,,,,,,,
 1244.,Усть-Калманка,§4,,Чарыш,ОП,,,,,,,,,,,,,,,
 1245.,Усть-Каменогорск,"§1,2,3,4",Восточно-Казахстанский,Иртыш,ОП,10,,,,,,,,,,,,,,
 1246.,Усть-Кара,"§4,5",,Шилка,П,,,,,,,,,,,,,,,
 1247.,Усть-Катунское (Загот-,"§4,5",,Катунь,ОП,,,,,,,,,,,,,,,
,зерно),,,,,,,,,,,,,,,,,,,
 1248.,Усть-Качка,§4,,Воткинское водохранилище,П,,,,,,,,,,,,,,,
 1249.,Усть-Кемоль,§4,,Обва,П,,,,,,,,,,,,,,,
 1250.,Усть-Кондас,§4,,Камское водохранилище,П,,,,,,,,,,,,,,,
 1251.,Усть-Коса,§4,,Кама,ОП,,,,,,,,,,,,,,,
 1252.,Усть-Кулом,"§3,4",,Вычегда,ОП,3,,,,,,,,,,,,,,
 1253.,Усть-Кутское отделение,"§ 1, 2, 3, 4, 5, 6",,Лена,ОП,35,,,,,,,,,,,,,,
,УМТС АК АЛРОСА (ЗАО),,,,,,,,,,,,,,,,,,,
 1254.,Усть-Луга,§2,,Луга,О,,,,,,,,,,,,,,,
 1255.,Усть-Лыжа,"§4,5",,Печора,П,,,,,,,,,,,,,,,
 1256.,Усть-Майское,"§4,5",,Алдан,П,,,,,,,,,,,,,,,
 1257.,Усть-Миль,"§4,5",,Алдан,П,,,,,,,,,,,,,,,
 1258.,Усть-Морж,"§1,4",,Северная Двина,П,,,,,,,,,,,,,,,
 1259.,Усть-Пинега,"§1,4",,Северная Двина,ОП,3,,,,,,,,,,,,,,
 1260.,Усть-Порт,"§4,5",,Енисей,П,,,,,,,,,,,,,,,
 1261.,Усть-Пристань,§4,,Обь,ОП,,,,,,,,,,,,,,,
,(Усть-Чарышская),,,,,,,,,,,,,,,,,,,
 1262.,Усть-Сарапулка,§7,,Кама,О,,,,,,,,,,,,,,,
 1263.,Усть-Татта,"§3,4,5",,Алдан,П,,,,,,,,,,,,,,,
 1264.,Усть-Уда,§4,,Братское водохранилище,П,,,,,,,,,,,,,,,
 1265.,Усть-Уса,"§4,5",,Печора,П,3,,,,,,,,,,,,,,
 1266.,Усть-Хоперская,§4,,Дон,ОП,,,,,,,,,,,,,,,
 1267.,Усть-Цильма,"§3,4",,Печора,ОП,5,,,,,,,,,,,,,,
 1268.,Усть-Чарышская,"§2,4",,Обь,ОП,5,,,,,,,,,,,,,,
 1269.,Усть-Черная,§4,,Весляна,П,,,,,,,,,,,,,,,
 1270.,Усть-Черная,"§4,5",,Шилка,П,,,,,,,,,,,,,,,
 1271.,Усть-Язьва,"§1,4",,Вишера,ОП,,,,,,,,,,,,,,,
 1272.,Устье р. Андомы,§4,,оз. Онежское,О,,,,,,,,,,,,,,,
 1273.,Устье р. Белой,§7,,Кама,О,,,,,,,,,,,,,,,
 1274.,Устье р. Демы,§7,,Белая,О,,,,,,,,,,,,,,,
 1275.,Устье р. Зеи,§7,,Зея,О,,,,,,,,,,,,,,,
 1276.,Устье р. Идели,§4,,Беломорско-Балтийский канал,ОП,,,,,,,,,,,,,,,
 1277.,Устье р. Иж,§7,,Кама,О,,,,,,,,,,,,,,,
 1278.,Устье р. Моломы,§4,,Вятка,О,,,,,,,,,,,,,,,
 1279.,Устье р. Самары,§7,,Волга,О,,,,,,,,,,,,,,,
 1280.,Устье-Алексеево,§4,,Юг,ОП,,,,,,,,,,,,,,,
 1281.,Устье-Аха,"§3,4,5",,Конда,ОП,5,,,,,,,,,,,,,,
 1282.,Устье-Кубенское,"§1,4",,оз. Кубенское,ОП,,,,,,,,,,,,,,,
 1283.,Устье-Толшемское,§4,,Сухона,ОП,,,,,,,,,,,,,,,
 1284.,Утесное,"§4,5",,Шилка,П,,,,,,,,,,,,,,,
 1285.,Уфа,"§1,2,3,4",,Белая,ОП,5,,,,,,,,,,,,,,
 1286.,Ухтубуж (Елизарово),§4,,Унжа,П,,,,,,,,,,,,,,,
 1287.,Учур (Чагда),"§4,5",,Алдан,П,,,,,,,,,,,,,,,
 1288.,Ушаково,"§4,5",,Амур,П,,,,,,,,,,,,,,,
 1289.,Фирсовский,"§4,5",,Шилка,П,,,,,,,,,,,,,,,
 1290.,Хабариха,"§4,5",,Печора,П,,,,,,,,,,,,,,,
 1291.,Хайрузовка,"§1,2,3,4",Восточно-Казахстанский,Бухтарминское водохранилище,ОП,3,,,,,,,,,,,,,,
 1292.,Халтурин,§4,,Вятка,ОП,,,,,,,,,,,,,,,
 1293.,Хангурей,"§4,5",,Печора,П,,,,,,,,,,,,,,,
 1294.,Хандыга,"§3,4,5",,Алдан,ОП,,,,,,,,,,,,,,,
,,Погрузку и выгрузку контейнеров в Хандыге грузоотправители и грузополучатели обязаны производить своими силами и средствами и на своих причалах.,,,,,,,,,,,,,,,,,,
 1295.,Ханты-Мансийск,"§1,3,4,5",,Иртыш,ОП,5,,,,,,,,,,,,,,
 1296.,Харбалах,"§4,5",,Амга,П,,,,,,,,,,,,,,,
 1297.,Харино,§4,,Кама,П,,,,,,,,,,,,,,,
 1298.,Харитоново,§4,,Вычегда,ОП,,,,,,,,,,,,,,,
 1299.,Харута-Вом,"§4,5",,Адзьва,П,,,,,,,,,,,,,,,
 1300.,Хатанга,"§4,5,6",,Хатанга,П,,,,,,,,,,,,,,,
 1301.,Хатырык-Хомо,"§4,5",,Вилюй,П,,,,,,,,,,,,,,,
 1302.,Хвалынск,"§1,3,4",,Волга,ОП,5,,,,,,,,,,,,,,
 1303.,Хвоенск,§4,Верхнеднепровский,Припять,ОП,,,,,,,,,,,,,,,
 1304.,Хворостово,"§1,4",,Ока,ОП,,,,,,,,,,,,,,,
 1305.,Хлевное,§4,,Дон,ОП,,,,,,,,,,,,,,,
 1306.,Холмогоры,§4,,Рукав Быстро-Курка р.Бол. Северной Двины,ОП,,,,,,,,,,,,,,,
 1307.,Хону,"§4,5,6",,Индигирка,П,,,,,,,,,,,,,,,
 1308.,Хор,§7,,Уссури,О,,,,,,,,,,,,,,,
 1309.,Хорейвер,"§4,5",,Колва,П,,,,,,,,,,,,,,,
 1310.,Хоринцы,"§4,5",,Вилюй,П,,,,,,,,,,,,,,,
 1311.,Хорошаево,§4,,Уфа,ОП,,,,,,,,,,,,,,,
 1312.,Хохловка,§4,,Камское водохранилище,О,,,,,,,,,,,,,,,
 1313.,Хутор Хирный,§4,,Веселовское водохранилище,П,,,,,,,,,,,,,,,
 1314.,Цаган-Аман,"§1,4",,Волга,О,,,,,,,,,,,,,,,
 1315.,Цементный Завод,§4,,Куйбышевское водохранилище,О,,,,,,,,,,,,,,,
 1316.,Цепочкино,§4,,Вятка,ОП,,,,,,,,,,,,,,,
 1317.,Цингалы,"§4,5",,Иртыш,П,,,,,,,,,,,,,,,
 1318.,Цыбулевка,"§4,5",Министерство транспорта и,Днестр,ОП,,,,,,,,,,,,,,,
,,,связи Республики Молдова,,,,,,,,,,,,,,,,,
 1319.,Чайковский,"§1,2,3,4",,Воткинское водохранилище,ОП,5,,,,,,,,,,,,,,
 1320.,Чалбучи,"§4,5",,Шилка,П,,,,,,,,,,,,,,,
 1321.,Чапаево,"§2,4",,Урал,ОП,,,,,,,,,,,,,,,
 1322.,Чардым,§4,,Волга,П,,,,,,,,,,,,,,,
 1323.,Часово,§4,,Вычегда,П,,,,,,,,,,,,,,,
 1324.,Частые,"§1,3,4,7",,Воткинское водохранилище,ОП,5,,,,,,,,,,,,,,
 1325.,Чеганда,§7,,Кама,О,,,,,,,,,,,,,,,
 1326.,Чекуровка,"§4,5",,Лена,П,,,,,,,,,,,,,,,
 1327.,Челмужи,§4,,оз. Онежское,ОП,,,,,,,,,,,,,,,
 1328.,Чепец,§4,,Кама,ОП,,,,,,,,,,,,,,,
 1329.,Чердынь,"§1,4",,Колва,ОП,,,,,,,,,,,,,,,
 1330.,Черевково,"§1,4",,Северная Двина,ОП,,,,,,,,,,,,,,,
 1331.,Черемошники,"§2,4",,Томь,ОП,,,,,,,,,,,,,,,
 1332.,Черепашье,§7,,Волга,О,,,,,,,,,,,,,,,
 1333.,Череповец,"§1,2,3,4",,Шексна,ОП,10,,,,,,,,,,,,,,
 1334.,Черкассы,"§1,2,3,5,7",ОАО «Черкасский речной,Днепр,ОП,20,,,,,,,,,,,,,,
,,,порт»,,,,,,,,,,,,,,,,,
 1335.,Черлак,§4,,Иртыш,ОП,,,,,,,,,,,,,,,
 1336.,Черменино,§4,,Унжа,П,,,,,,,,,,,,,,,
 1337.,Чермоз,"§1,3,4",,Камское водохранилище,ОП,3,,,,,,,,,,,,,,
 1338.,Черниговский речной порт,"§1,2",ОАО Черниговский речной,Десна,ОП,5,,,,,,,,,,,,,,
,,,порт»,,,,,,,,,,,,,,,,,
 1339.,Чернорецк,§4,,Иртыш,О,,,,,,,,,,,,,,,
 1340.,Черный Берег,§4,,Свирь,О,,,,,,,,,,,,,,,
 1341.,Черный Яр,§4,,Волга,ОП,,,,,,,,,,,,,,,
 1342.,Чернявка,§4,Верхнеднепровский,Березина,ОП,,,,,,,,,,,,,,,
 1343.,Черский (Нижние Кресты),"§4,5,6",,Колыма,П,,,,,,,,,,,,,,,
 1344.,Чесноковка,§7,,Белая,О,,,,,,,,,,,,,,,
 1345.,Чечерск,§4,Верхнеднепровский,Сож,ОП,,,,,,,,,,,,,,,
 1346.,Чечуйск,"§4,5",,Лена,П,,,,,,,,,,,,,,,
 1347.,Чижовский Яр,§7,,Белая,О,,,,,,,,,,,,,,,
 1348.,Чикойский Кожзавод,§4,,Чикой,П,,,,,,,,,,,,,,,
 1349.,Чимнай,"§4,5",,Амга,П,,,,,,,,,,,,,,,
 1350.,Чингисы,"§4,5",,Обь,П,,,,,,,,,,,,,,,
 1351.,Чирюк,§4,,Луза,О,,,,,,,,,,,,,,,
 1352.,Чистополь,"§1,2,3,4,7",,Кама,ОП,5,,,,,,,,,,,,,,
 1353.,Чкаловск,"§1,4",,Волга,ОП,,,,,,,,,,,,,,,
 1354.,Чобручи,"§4,5",Министерство транспорта и,Днестр,П,,,,,,,,,,,,,,,
,,,связи Республики Молдова,,,,,,,,,,,,,,,,,
 1355.,Чокурдах,"§4,5,6",,Индигирка,П,,,,,,,,,,,,,,,
 1356.,Чурское,§7,,Чурской,,,,,,,,,,,,,,,,
 1357.,Шакшер,§4,,Кама,П,,,,,,,,,,,,,,,
 1358.,Шала,"§3,4",,Водла,ОП,,,,,,,,,,,,,,,
 1359.,Шалашная,§4,,Чусовая,П,,,,,,,,,,,,,,,
 1360.,Шаровицы,§4,,Вычегда,П,,,,,,,,,,,,,,,
 1361.,Шегарка,§4,,Обь,ОП,,,,,,,,,,,,,,,
 1362.,Шеговары,§4,,Вага,П,,,,,,,,,,,,,,,
 1363.,Шексна,§4,,Шексна,ОП,,,,,,,,,,,,,,,
 1364.,Шелаболиха,§4,,Обь,ОП,,,,,,,,,,,,,,,
 1365.,Шеланга,§4,,Куйбышевское водохранилище,ОП,,,,,,,,,,,,,,,
 1366.,Шемети,§4,,Камское водохранилище,О,,,,,,,,,,,,,,,
 1367.,Шенкурск,"§1,3,4",,Вага,ОП,3,,,,,,,,,,,,,,
 1368.,Шеркалы,"§4,5",,Обь,П,,,,,,,,,,,,,,,
,,Шеркалы открыты для операций по выдаче только каменного угля.,,,,,,,,,,,,,,,,,,
 1369.,Шерпены,"§4,5",Министерство транспорта и,Днестр,П,,,,,,,,,,,,,,,
,,,связи Республики Молдова,,,,,,,,,,,,,,,,,
 1370.,Шерстин,§4,Верхнеднепровский,Сож,О,,,,,,,,,,,,,,,
 1371.,Шея,"§4,5",,Вилюй,П,,,,,,,,,,,,,,,
 1372.,Шиловка,§4,,Куйбышевское водохранилище,ОП,,,,,,,,,,,,,,,
 1373.,Шилово,"§1,4",,Ока,ОП,,,,,,,,,,,,,,,
 1374.,Шиморское,"§1,4",,Ока,ОП,1,,,,,,,,,,,,,,
 1375.,Широкий Буерак,§4,,Волга,ОП,,,,,,,,,,,,,,,
 1376.,Шишигино,§4,,Кама,П,,,,,,,,,,,,,,,
 1377.,Шокша,§4,,оз. Онежское,О,,,,,,,,,,,,,,,
 1378.,Шолохово,§7,,Дейма,О,,,,,,,,,,,,,,,
 1379.,Шолтозеро,§4,,оз. Онежское,ОП,,,,,,,,,,,,,,,
 1380.,Шуга,"§4,5",,Обская губа,П,,,,,,,,,,,,,,,
,,Пристань Шуга открыта для операций по выдаче только каменного угля.,,,,,,,,,,,,,,,,,,
 1381.,Шумерля,§4,,Сура,ОП,,,,,,,,,,,,,,,
 1382.,Шуньга,§4,,оз. Онежское,О,,,,,,,,,,,,,,,
 1383.,Шурма,§4,,Вятка,ОП,,,,,,,,,,,,,,,
 1384.,Шурышкары,"§4,5",,Обь,П,,,,,,,,,,,,,,,
 1385.,Шушпанка,"§4,7",,Чусовая,П,,,,,,,,,,,,,,,
 1386.,Шуя,§4,,Теза,ОП,,,,,,,,,,,,,,,
 1387.,Щелья-Бож,"§4,5",,Печора,ОП,,,,,,,,,,,,,,,
 1388.,Щелья-Юр,"§3,4",,Печора,ОП,5,,,,,,,,,,,,,,
 1389.,Эльгяй,"§4,5",,Вилюй,П,,,,,,,,,,,,,,,
 1390.,Эльдикан,"§3,4,5",,Алдан,ОП,,,,,,,,,,,,,,,
,,Погрузку и выгрузку контейнеров в Эльдикане грузоотправители и грузополучатели обязаны производить своими силами и средствами и на своих причалах.,,,,,,,,,,,,,,,,,,
 1391.,Энгельс,§4,,Волга,ОП,,,,,,,,,,,,,,,
 1392.,Юбилейная,"§4,5",,Зея,П,,,,,,,,,,,,,,,
 1393.,Юго-Камск,§4,,Воткинское водохранилище,ОП,,,,,,,,,,,,,,,
 1394.,Юксеево,§4,,Енисей,П,,,,,,,,,,,,,,,
 1395.,Юматиха,§7,,Куйбышевское водохранилище,О,,,,,,,,,,,,,,,
 1396.,Юрбаркас,§4,Нямунский,Нямунас,ОП,,,,,,,,,,,,,,,
 1397.,Юрино,"§1,4",,Волга,ОП,,,,,,,,,,,,,,,
 1398.,Юрома,§4,,Мезень,П,,,,,,,,,,,,,,,
 1399.,Юрюнг-Хая,"§4,5,6",,Анабар,П,,,,,,,,,,,,,,,
 1400.,Яблоновый Овраг,"§2,4,5",,Куйбышевское водохранилище,ОП,5,,,,,,,,,,,,,,
 1401.,Ядрин,§4,,Сура,ОП,,,,,,,,,,,,,,,
 1402.,Якутск,"§3,4",,Лена,ОП,,,,,,,,,,,,,,,
 1403.,Ямалы,"§4,7",,Белая,О,,,,,,,,,,,,,,,
 1404.,Яманка,§2,,Урал,ОП,3,,,,,,,,,,,,,,
 1405.,Ямбург,"§4,5",,Нюдя-Монгото-Епока,П,16,,,,,,,,,,,,,,
 1406.,Ямышево,§4,,Иртыш,О,,,,,,,,,,,,,,,
 1407.,Январцево,§4,,Урал,О,,,,,,,,,,,,,,,
 1408.,Янги-Юган,"§4,5,6",,Полуй,П,,,,,,,,,,,,,,,
 1409.,Яптик-Сале,"§4,5",,Обская губа,П,,,,,,,,,,,,,,,
,,Яптик-Сале открыт для операций по выдаче только каменного угля.,,,,,,,,,,,,,,,,,,
 1410.,Яр-Сале,"§3,4,5",,Юмба,П,5,,,,,,,,,,,,,,
,,Погрузку и выгрузку контейнеров в Яр-Сале грузоотправители и грузополучатели обязаны производить своими силами и средствами и на своих причалах.,,,,,,,,,,,,,,,,,,
 1411.,Яренск,"§1,3,4",,Вычегда,ОП,3,,,,,,,,,,,,,,
 1412.,Яромаска,§7,,Кама,О,,,,,,,,,,,,,,,
 1413.,Ярославль,"§1,2,3,4",,Волга,ОП,27,,,,,,,,,,,,,,
 1414.,Ярославский,"§4,5",,Лена,П,,,,,,,,,,,,,,,
 1415.,Ярцево,"§4,5",,Енисей,П,,,,,,,,,,,,,,,
 1416.,Яхрома,"§1,4",,Канал имени Москвы,ОП,,,,,,,,,,,,,,,
_____________________________________________________________________________________________,,,,,,,,,,,,,,,,,,,,
