Четверг 25 сен.2025г.  17:59,,,,,
,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,
,,,,,
АЛФАВИТНЫЙ СПИСОК ОСТАНОВОЧНЫХ ПУНКТОВ И ПЛАТФОРМ,,,,,
№ п/п,Наименование пункта,Операции,Дорога,Код станции,
  514.,Бешенцево,О,83 З-Сиб (Р),841173,
  515.,Бибковщина,О,13 Бел,146823,
  516.,Бигайляй,П,12 Лит,127413,
  517.,Бизнеса Аугстскола Туриба,О,09 Лат,091033,
  518.,Бикбардинский,Б,24 Горьк (Р),258018,
  519.,Биликтуй,О,92 В-Сиб (Р),931914,
  520.,Билка,О,35 Льв (У),360339,
  521.,Бинагады,О,55 Азерб,546831,
  522.,Биргильда,О,80 Ю-Ур (Р),804831,
  523.,Бирзе,О,09 Лат,092137,
  524.,Бирзе Шаур (узк.),О,09 Лат,111519,
  525.,Бирки,О,40 Од (У),423114,
  526.,Биркино,О,17 Моск (Р),223625,
  527.,Бирок,О,35 Льв (У),358521,
  528.,Бирюки,О,32 Ю-Зап (У),343920,
  529.,Бирюлево-Пассажирская,О,17 Моск (Р),192959,
  530.,Бирюличи,О,13 Бел,135349,
  531.,Бирюсинский Мост,О,88 Крас (Р),887726,
  532.,Бисковичи,О,35 Льв (У),374967,
  533.,Битараплык,О,75 Трк,756021,
  534.,Битца,О,17 Моск (Р),191212,
  535.,Бишбатман,О,24 Горьк (Р),249057,
  536.,Бишигино,О,94 Заб (Р),948031,
  537.,Блабурхва,О,57 Грз,574140,
  538.,Благовичи,О,13 Бел,157921,
  539.,Благодатка,О,63 Кбш (Р),634712,
  540.,Благодатное,О,61 Прив (Р),624513,
  541.,Благословение,О,45 Придн (У),458331,
  542.,Блажевщина,О,13 Бел,168339,
  543.,Блидене,О,09 Лат,093128,
  544.,Ближнеосиновский,О,61 Прив (Р),615020,
  545.,Блины,О,76 Сверд (Р),763612,
  546.,Блужа,О,13 Бел,145426,
  547.,Блыдни,О,32 Ю-Зап (У),341728,
  548.,БЛЕКСИ АРЕНА,О,57 Грз,570722,
  549.,БМК,О,83 З-Сиб (Р),840113,
  550.,Бобки,О,76 Сверд (Р),764625,
  551.,Бобоквати,О,57 Грз,571212,
  552.,Бобрич,О,13 Бел,153526,
  553.,Бобровка,О,76 Сверд (Р),794019,
  554.,Бобровский,О,96 Д-Вост (Р),962414,
  555.,Бобровский Лес,О,83 З-Сиб (Р),842142,
  556.,Бобровый Лог,О,88 Крас (Р),891384,
  557.,Бобры,О,13 Бел,131298,
  558.,Бобры,О,13 Бел,137256,
  559.,Бовшев,О,35 Льв (У),388122,
  560.,Богатово,Х,10 Клг (Р),104873,
  561.,Богатырево,О,51 С-Кав (Р),543015,
  562.,Богатырская,О,58 Ю-Вост (Р),590228,
  563.,Богданешть,О,39 Млд,392024,
  564.,Богданка,О,32 Ю-Зап (У),328225,
  565.,Богдановка,О,32 Ю-Зап (У),323024,
  566.,Богдановка,О,32 Ю-Зап (У),328232,
  567.,Богдановка,О,40 Од (У),423260,
  568.,Богдановка-Каменка,О,35 Льв (У),361238,
  569.,Боголюбово,О,24 Горьк (Р),262723,
  570.,Богоносово,О,58 Ю-Вост (Р),585094,
  571.,Богуново,О,40 Од (У),423311,
  572.,Богунский,О,32 Ю-Зап (У),348229,
  573.,Богуславец,О,40 Од (У),424314,
  574.,Богутичи,О,13 Бел,151234,
  575.,Богушевка,О,13 Бел,135227,
  576.,Богчина,О,28 Сев (Р),306014,
  577.,Богчино,О,28 Сев (Р),306029,
  578.,Бодуны,О,17 Моск (Р),171327,
  579.,Боевский,О,76 Сверд (Р),795312,
  580.,Бойковщина,О,40 Од (У),424738,
  581.,Бокарево,Б,01 Окт (Р),051214,
  582.,Бокуны,О,13 Бел,135250,
  583.,Болград,О,40 Од (У),402404,
  584.,Болгуры,О,24 Горьк (Р),255630,
  585.,Болеховцы,О,35 Льв (У),376318,
  586.,Болниси,Х,57 Грз,564308,
  587.,Болотистое,О,01 Окт (Р),036322,
  588.,Болотная,О,01 Окт (Р),040224,
  589.,Болотная,О,83 З-Сиб (Р),866039,
  590.,Болотная-Сахалинская,О,96 Д-Вост (Р),995210,
  591.,Болотницкая,О,01 Окт (Р),042412,
  592.,Болотный,О,92 В-Сиб (Р),920943,
  593.,Болото Мох,О,28 Сев (Р),297830,
  594.,Болотово,О,94 Заб (Р),948652,
  595.,Болтовое,О,76 Сверд (Р),773332,
  596.,Больница,О,13 Бел,155856,
  597.,Больница,О,58 Ю-Вост (Р),600913,
  598.,Больница,О,80 Ю-Ур (Р),800347,
  599.,Большаково-Новое,О,10 Клг (Р),104854,
  600.,Большая Алешня,О,58 Ю-Вост (Р),604030,
  601.,Большая Боёвка,О,58 Ю-Вост (Р),596830,
  602.,Большая Грязнуха,О,76 Сверд (Р),795331,
  603.,Большая Дмитровка,О,58 Ю-Вост (Р),584956,
  604.,Большая Елань,О,96 Д-Вост (Р),990611,
  605.,Большая Ельня,О,24 Горьк (Р),269440,
  606.,Большая Каменка,О,83 З-Сиб (Р),871150,
  607.,Большая Ния,О,76 Сверд (Р),762427,
  608.,Большая Поляна,О,76 Сверд (Р),793410,
  609.,Большая Речка,О,92 В-Сиб (Р),934715,
  610.,Большая Силаевка,О,63 Кбш (Р),642526,
  611.,Большая Слободка,О,28 Сев (Р),280115,
  612.,Большая Трифоновка,О,76 Сверд (Р),785838,
  613.,Большая Яблоновка,О,40 Од (У),420027,
  614.,Большие Брусяны,О,76 Сверд (Р),794625,
  615.,Большие Пузырьки,О,32 Ю-Зап (У),334211,
  616.,Большое Пивкозеро,О,28 Сев (Р),295322,
  617.,Большое Фролово,О,28 Сев (Р),311614,
  618.,Большой Гондыр,О,24 Горьк (Р),257918,
  619.,Большой Каймак,О,76 Сверд (Р),796156,
  620.,Большой Лог,О,51 С-Кав (Р),513645,
  621.,Большой Утлюг,О,45 Придн (У),475814,
  622.,Бондаревский,О,32 Ю-Зап (У),348515,
  623.,Бондюг,О,63 Кбш (Р),648950,
  624.,Боневичи,О,35 Льв (У),375014,
  625.,Бони,О,13 Бел,159043,
  626.,Бор,О,01 Окт (Р),020310,
  627.,Бор,О,01 Окт (Р),045410,
  628.,Борвинок,О,51 С-Кав (Р),529732,
  629.,Бордавичи,О,17 Моск (Р),179032,
  630.,Борец,О,17 Моск (Р),187024,
  631.,Борец Труда,О,51 С-Кав (Р),515814,
  632.,Боржоми-Парк,Б,57 Грз,577613,
  633.,Борзовая,О,35 Льв (У),354412,
  634.,Борзовка,О,17 Моск (Р),226638,
  635.,Борисовка,О,51 С-Кав (Р),520314,
  636.,Борисовка,О,80 Ю-Ур (Р),804511,
  637.,Борисовка,О,88 Крас (Р),886437,
  638.,Борисово,О,92 В-Сиб (Р),923246,
  639.,Борисовская,О,24 Горьк (Р),269417,
  640.,Борки,О,13 Бел,134224,
  641.,Борки,О,80 Ю-Ур (Р),829415,
  642.,Бормотово,П,83 З-Сиб (Р),861035,
  643.,Борница,О,01 Окт (Р),074216,
  644.,Боровая,П ,01 Окт (Р),028326,
  645.,Боровая,О,13 Бел,132534,
  646.,Боровая,О,01 Окт (Р),033057,
  647.,Боровка,О,13 Бел,157739,
  648.,Боровка,О,88 Крас (Р),882826,
  649.,Боровлянка,О,80 Ю-Ур (Р),827640,
  650.,Боровое,О,01 Окт (Р),023144,
  651.,Боровой,О,28 Сев (Р),298142,
  652.,Боровой,О,88 Крас (Р),890451,
  653.,Боровская,О,58 Ю-Вост (Р),590213,
  654.,Боровская-Южная,О,43 Южн (У),444381,
  655.,Боровушка,О,83 З-Сиб (Р),853734,
  656.,Бородкино,О,76 Сверд (Р),765016,
  657.,Бородчицы,О,35 Льв (У),378417,
  658.,Бороздиновка,О,58 Ю-Вост (Р),583826,
  659.,Борок,О,13 Бел,150636,
  660.,Борок,О,17 Моск (Р),221117,
  661.,Бороничево,О,01 Окт (Р),045529,
  662.,Борречье,О,13 Бел,153776,
  663.,Борсики,О,88 Крас (Р),886371,
  664.,Бортники,О,35 Льв (У),379119,
  665.,Борусов,О,35 Льв (У),378934,
  666.,Борцы,О,48 Дон (У),482752,
  667.,Борцы,О,89 89-я дорога,898650,
  668.,Борщевка,О,40 Од (У),406848,
  669.,Борщов,О,35 Льв (У),389125,
  670.,Борятино,О,83 З-Сиб (Р),831716,
  671.,Бослеви,О,57 Грз,576061,
  672.,Бостанлык,О,73 Узбк,721817,
  673.,Бостынь,О,13 Бел,139478,
  674.,Ботаника,О,73 Узбк,721319,
  675.,Ботаникури Баги,О,57 Грз,571316,
  676.,Ботаническая,О,76 Сверд (Р),780675,
  677.,Ботино,О,17 Моск (Р),232111,
  678.,Бочановка,О,01 Окт (Р),052823,
  679.,Бошняково,О,88 Крас (Р),893322,
  680.,Бояны,Б,35 Льв (У),366994,
  681.,Бояринцево,О,17 Моск (Р),228328,
  682.,Бояры,О,13 Бел,142324,
  683.,БОБЫЛИ,О,24 Горьк (Р),268414,
  684.,БОЗИНО,О,24 Горьк (Р),274358,
  685.,Бракшки,О,09 Лат,097612,
  686.,Бранное Поле,О,45 Придн (У),471512,
  687.,Бранное Поле,О,85 Крым (Р),868250,
  688.,Браны,О,35 Льв (У),357340,
  689.,Браса,О,09 Лат,090416,
  690.,Братки,О,48 Дон (У),508435,
  691.,Братки,О,84 84-я дорога,849654,
  692.,Братское,О,45 Придн (У),461629,
  693.,Братское Море,О,92 В-Сиб (Р),924925,
  694.,Братское Озеро,О,43 Южн (У),443828,
  695.,Братья Комаровы,О,24 Горьк (Р),253654,
  696.,Бригадирская,Б,58 Ю-Вост (Р),603860,
  697.,Бригадный,О,32 Ю-Зап (У),328174,
  698.,Бригадный,О,43 Южн (У),430014,
  699.,Бриги,О,09 Лат,112935,
  700.,Бриежи,О,09 Лат,091885,
  701.,Брикетная,О,17 Моск (Р),228012,
  702.,Брикетный,О,24 Горьк (Р),250942,
  703.,Брицаловичи,О,13 Бел,146429,
  704.,Бриштамак,О,63 Кбш (Р),653925,
  705.,Бриштамак,О,63 Кбш (Р),652265,
  706.,Бродище,О,13 Бел,146452,
  707.,Бродница,О,13 Бел,133147,
  708.,Брожа,О,13 Бел,147493,
  709.,Бройлерная,О,92 В-Сиб (Р),937855,
  710.,Бронислав,О,13 Бел,152129,
  711.,Брохвичи (узк.),О,40 Од (У),408311,
  712.,Брошнев,О,35 Льв (У),387613,
  713.,Брусничное,О,01 Окт (Р),052522,
  714.,Брусы,О,17 Моск (Р),212423,
  715.,Брусяны,О,76 Сверд (Р),793919,
  716.,Брылево,П,01 Окт (Р),068624,
  717.,Брынза,О,39 Млд,397653,
  718.,Брынь,О,17 Моск (Р),185264,
  719.,Бубнов,О,35 Льв (У),353123,
  720.,Бубново,О,01 Окт (Р),067617,
  721.,Бубяково,О,17 Моск (Р),236521,
  722.,Будасси,О,01 Окт (Р),014573,
  723.,Будвечяй,О,12 Лит,124010,
  724.,Будка,О,76 Сверд (Р),780124,
  725.,Будотень,О,13 Бел,150551,
  726.,Буды,О,13 Бел,139618,
  727.,Будьки,О,32 Ю-Зап (У),330066,
  728.,Бузан-Пристань,О,61 Прив (Р),617416,
  729.,Бузюк,О,88 Крас (Р),893712,
  730.,Буйволовецкий,О,32 Ю-Зап (У),333721,
  731.,Буйректобе,О,68 Кзх,669849,
  732.,Буклевское,О,43 Южн (У),446737,
  733.,Букнари,О,57 Грз,571231,
  734.,Букреевка,О,17 Моск (Р),217427,
  735.,Булатниково,О,17 Моск (Р),192944,
  736.,Булдури,О,09 Лат,097129,
  737.,Бумажково,О,13 Бел,147328,
  738.,Бумбэта,О,39 Млд,391820,
  739.,Бунгур,О,83 З-Сиб (Р),864071,
  740.,Буравщина,О,92 В-Сиб (Р),933322,
  741.,Бураки,О,76 Сверд (Р),762554,
  742.,Бурбулатовская,О,48 Дон (У),493615,
  743.,Буревестник,О,24 Горьк (Р),269347,
  744.,Буревестник,О,96 Д-Вост (Р),984315,
  745.,Бурелом,О,17 Моск (Р),225226,
  746.,Буренино,О,24 Горьк (Р),266813,
  747.,Буреничево,О,83 З-Сиб (Р),871130,
  748.,Буркин Буерак,О,61 Прив (Р),621133,
  749.,Бурлаки,О,76 Сверд (Р),785819,
  750.,Бурли- Казахский,О,68 Кзх,692722,
  751.,Бурлуцкий,О,43 Южн (У),430527,
  752.,Бурма,О,68 Кзх,675731,
  753.,Бурсяк,О,76 Сверд (Р),784017,
  754.,Бурундучиха,О,28 Сев (Р),307816,
  755.,Буруны,О,61 Прив (Р),541645,
  756.,Бурцевская,О,24 Горьк (Р),240137,
  757.,Бускускан,О,83 З-Сиб (Р),862625,
  758.,Буслы,О,13 Бел,155240,
  759.,Бусовиско,О,35 Льв (У),375527,
  760.,Бутаки,О,80 Ю-Ур (Р),800258,
  761.,Бутиха,О,92 В-Сиб (Р),936513,
  762.,Бутово,Х,17 Моск (Р),191119,
  763.,Бухаловский Переезд,О,01 Окт (Р),062312,
  764.,Бухличи,О,13 Бел,139228,
  765.,Бухта,О,94 Заб (Р),949320,
  766.,Буценовка,О,40 Од (У),405544,
  767.,Буцнев,О,35 Льв (У),362531,
  768.,Бушевка,О,13 Бел,155216,
  769.,Бушево,О,32 Ю-Зап (У),344113,
  770.,Бушинка,О,32 Ю-Зап (У),331618,
  771.,БУРТАСЫ,О,24 Горьк (Р),245450,
  772.,БЦБК,О,92 В-Сиб (Р),933731,
  773.,Бызово,О,83 З-Сиб (Р),864230,
  774.,Быльчино,О,01 Окт (Р),055610,
  775.,Быстрица,О,35 Льв (У),388419,
  776.,Быстрогорский,О,51 С-Кав (Р),587916,
  777.,Быструха,О ,24 Горьк (Р),266211,
  778.,Бытень,О,13 Бел,134313,
  779.,Бытовик,О,61 Прив (Р),623787,
  780.,Бытовик,О,92 В-Сиб (Р),931613,
  781.,Бэюш,О,39 Млд,397210,
  782.,Бюрганы,О,24 Горьк (Р),249413,
  783.,Бябрулишке,О,12 Лит,124038,
  784.,Бявандянишкес,О,12 Лит,120927,
  785.,Бянкино,О,94 Заб (Р),948154,
  786.,Бярчюнай,О,12 Лит,127216,
  787.,Ваабина,О,08 Эст,085545,
  788.,Вагановка,О,76 Сверд (Р),772912,
  789.,Ваганово,О,01 Окт (Р),036318,
  790.,Ваганово,О,28 Сев (Р),303622,
  791.,Вагонник,О,83 З-Сиб (Р),832649,
  792.,Вагонное Депо,О,58 Ю-Вост (Р),438389,
  793.,Вагонное Депо,О,61 Прив (Р),620067,
  794.,Вагонное Депо,О,92 В-Сиб (Р),920074,
  795.,Вагонозавод,О,43 Южн (У),425317,
  796.,Вагону Паркс,О,09 Лат,095029,
  797.,Вагула,О,08 Эст,085511,
  798.,Вадаксте,О,09 Лат,099529,
  799.,Вадул-Луй-Исак,О,39 Млд,396742,
  800.,Вазерки,О,63 Кбш (Р),630618,
  801.,Вазисубани,О,57 Грз,562213,
  802.,Вазуза,О,17 Моск (Р),173841,
  803.,Вайвари,О,09 Лат,097241,
  804.,Вайнава,О,09 Лат,113317,
  805.,Вакуленчук,О,32 Ю-Зап (У),342114,
  806.,Валгеметса,О,08 Эст,084951,
  807.,Валговицы,О,01 Окт (Р),074521,
  808.,Валентиновка,О,17 Моск (Р),235016,
  809.,Валень,О,39 Млд,397649,
  810.,Валтово,Б,24 Горьк (Р),243722,
  811.,Валуйки-Сортировочные,О,58 Ю-Вост (Р),438355,
  812.,Валуйская,О,48 Дон (У),507377,
  813.,Валуйская,О,84 84-я дорога,849175,
  814.,Вальяновка,О,48 Дон (У),491624,
  815.,Валява,О,40 Од (У),422342,
  816.,Вана-Куусте,О,08 Эст,084913,
  817.,Ваневка,О,76 Сверд (Р),765711,
  818.,Ванзозеро,О,01 Окт (Р),011433,
  819.,Ванилевичи,О,13 Бел,139143,
  820.,Ванчиковцы,Б,35 Льв (У),367126,
  821.,Ванчур,О,17 Моск (Р),221136,
  822.,Ванюши,О,80 Ю-Ур (Р),829631,
  823.,Ваняты,О,24 Горьк (Р),261913,
  824.,Вапнярки,О,35 Льв (У),368330,
  825.,Вапрамяэ,О,08 Эст,085723,
  826.,Вараш,О,35 Льв (У),355010,
  827.,Вардакар,О,56 Ю-Кав,566138,
  828.,Вардане,О,51 С-Кав (Р),533028,
  829.,Вардгинети,О,57 Грз,577524,
  830.,Варежка,О,63 Кбш (Р),633211,
  831.,Вареновка,О,51 С-Кав (Р),511457,
  832.,Вариани,О,57 Грз,579248,
  833.,Вариводки,О,32 Ю-Зап (У),340246,
  834.,Варику,О,08 Эст,085776,
  835.,Варсер,О,56 Ю-Кав,568811,
  836.,Варские,О,24 Горьк (Р),241873,
  837.,Варшавская,О,17 Моск (Р),193453,
  838.,Варюшкино,О,80 Ю-Ур (Р),829218,
  839.,Варяг,О,92 В-Сиб (Р),921626,
  840.,Василисино,О,17 Моск (Р),175313,
  841.,Василисино,О,28 Сев (Р),313338,
  842.,Васильков,О,40 Од (У),421664,
