Четверг 25 сен.2025г.  17:59,,,,,
,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,
,,,,,
АЛФАВИТНЫЙ СПИСОК ОСТАНОВОЧНЫХ ПУНКТОВ И ПЛАТФОРМ,,,,,
№ п/п,Наименование пункта,Операции,Дорога,Код станции,
  446.,Бельский,О,88 Крас (Р),882239,
  447.,Бельтыры,О ,88 Крас (Р),887228,
  448.,Беляево,О,58 Ю-Вост (Р),591625,
  449.,Белянский,Х,48 Дон (У),505935,
  450.,Бендер III,Б,39 Млд,390673,
  451.,Бениславского,О,13 Бел,161823,
  452.,Беньково,О,35 Льв (У),375245,
  453.,Берда,О,63 Кбш (Р),655942,
  454.,Берданосовка,О,51 С-Кав (Р),513630,
  455.,Берды,О,80 Ю-Ур (Р),811873,
  456.,Береговая,О,40 Од (У),423330,
  457.,Береговая,О,76 Сверд (Р),791010,
  458.,Береговая,О,83 З-Сиб (Р),853217,
  459.,Береговой,О,24 Горьк (Р),273747,
  460.,Береговой,О,80 Ю-Ур (Р),801852,
  461.,Береговой,О,92 В-Сиб (Р),934823,
  462.,Бережа,О,13 Бел,144527,
  463.,Бережанка,О,35 Льв (У),360324,
  464.,Бережки,О,83 З-Сиб (Р),865248,
  465.,Бережок,О,13 Бел,141618,
  466.,Береза Город,О,13 Бел,134116,
  467.,Березановка,О,45 Придн (У),452051,
  468.,Березина,О,13 Бел,141410,
  469.,Березина Речка,О,61 Прив (Р),620739,
  470.,Березинское,О,13 Бел,162633,
  471.,Березка,О,32 Ю-Зап (У),328155,
  472.,Березка,О,92 В-Сиб (Р),927177,
  473.,Березка Грозненская,О,51 С-Кав (Р),541024,
  474.,Березки,О,83 З-Сиб (Р),840626,
  475.,Березки-Дачные,О,01 Окт (Р),060711,
  476.,Березник,О,43 Южн (У),433116,
  477.,Березняк,О,01 Окт (Р),045016,
  478.,Березняки,О,40 Од (У),420031,
  479.,Березняки-Сахалинские,О,96 Д-Вост (Р),991262,
  480.,Березняцкая,О,40 Од (У),420046,
  481.,Березовая,О,10 Клг (Р),103645,
  482.,Березовая,О,88 Крас (Р),888432,
  483.,Березовая Роща,О,13 Бел,130825,
  484.,Березовая Роща,О,58 Ю-Вост (Р),596510,
  485.,Березовая Роща,О,92 В-Сиб (Р),903384,
  486.,Березовая Роща,О,24 Горьк (Р),250726,
  487.,Березовка,О,24 Горьк (Р),251023,
  488.,Березовка,О,88 Крас (Р),892419,
  489.,Березовка-1,О,61 Прив (Р),609246,
  490.,Березовка-2,О,61 Прив (Р),609335,
  491.,Березовое,О,94 Заб (Р),940557,
  492.,Березовское,О,58 Ю-Вост (Р),585728,
  493.,Березовцы,О,13 Бел,162313,
  494.,Березовый,О,28 Сев (Р),299821,
  495.,Березовый,О,51 С-Кав (Р),520719,
  496.,Берека,О,43 Южн (У),443315,
  497.,Берестовая,О,43 Южн (У),431661,
  498.,Берешть,О,39 Млд,392017,
  499.,Берёзка,О,83 З-Сиб (Р),852233,
  500.,Берёзка,О,83 З-Сиб (Р),871226,
  501.,Берёзово,О,17 Моск (Р),213445,
  502.,Берёзовский,О,83 З-Сиб (Р),871910,
  503.,Берзупе,О,09 Лат,093013,
  504.,Беркарар,О,75 Трк,756017,
  505.,Беркутский,О,76 Сверд (Р),790732,
  506.,Берлебаш,О,35 Льв (У),386201,
  507.,Берлога,О,76 Сверд (Р),783226,
  508.,Бермедский,О,51 С-Кав (Р),527046,
  509.,Бернгардовка,О,01 Окт (Р),036727,
  510.,Беседовщина,О,43 Южн (У),428324,
  511.,Беслахуба,О,57 Грз,573311,
  512.,Бессергеновка,О,51 С-Кав (Р),511442,
  513.,Бешгиоз,О,39 Млд,398815,
