Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Грузинской ж.д. (код дороги 57),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 57-001 ""ГАНТИАДИ (ЭКСП.) - СЕНАКИ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Гантиади (эксп.),до ст. Сенаки (эксп.),,,,,,,,,,,
  9.,562815 .,ОП Платформа 13 км,  13  км ,  29  км ,,,,,,,,,,,
 10.,562800 .,Гачиани,  15  км ,  27  км ,,,,,,,,,,,
 11.,562821 .,Гачиани (эксп.),  15  км ,  27  км ,,,,,,,,,,,
 12.,562730 .,ОП Платформа 18 км,  18  км ,  24  км ,,,,,,,,,,,
 13.,562711 .,ОП Платформа 23 км,  24  км ,  18  км ,,,,,,,,,,,
 14.,562707 .,Рустави,  25  км ,  17  км ,,,,,,,,,,,
 15.,562745 .,Рустави (эксп.),  25  км ,  17  км ,,,,,,,,,,,
 16.,562618 .,ОП Мтавари-Архи,  27  км ,  15  км ,,,,,,,,,,,
 17.,562637 .,ОП Нагеби,  28  км ,  14  км ,,,,,,,,,,,
 18.,562603 .,Гардабани,  33  км ,   9  км ,,,,,,,,,,,
 19.,562622 .,ОП Руисболо,  40  км ,   2  км ,,,,,,,,,,,
 20.,563606 .,Гардабани (эксп.),  42  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  6) участок 57-006 ""ТБИЛИСИ-УЗЛОВАЯ - САДАХЛО (ЭКСП.)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Тбилиси-Узловая,до ст. Садахло (эксп.),,,,,,,,,,,
  1.,560097 .,Тбилиси-Узловая (эксп.),   0  км ,  69  км ,,,,,,,,,,,
  2.,560101 .,Тбилиси-Узловая,   0  км ,  69  км ,,,,,,,,,,,
  3.,560035 .,ОП Платформа 2512 км,   3  км ,  66  км ,,,,,,,,,,,
  4.,560044 .,ОП Платформа 2514 км,   5  км ,  64  км ,,,,,,,,,,,
  5.,563004 .,Поничала,   7  км ,  62  км ,,,,,,,,,,,
  6.,577806 .,Поничала (эксп.),   7  км ,  62  км ,,,,,,,,,,,
  7.,563019 .,ОП Крцаниси,  11  км ,  58  км ,,,,,,,,,,,
  8.,563023 .,ОП Кумиси,  18  км ,  51  км ,,,,,,,,,,,
  9.,563061 .,ОП Платформа 2527 км,  21  км ,  48  км ,,,,,,,,,,,
 10.,563038 .,Марабда,  23  км ,  46  км ,,,,,,,,,,,
 11.,563095 .,ОП Платформа 2531 км,  25  км ,  44  км ,,,,,,,,,,,
 12.,564098 .,Марнеули (эксп.),  31  км ,  38  км ,,,,,,,,,,,
 13.,564100 .,Марнеули,  31  км ,  38  км ,,,,,,,,,,,
 14.,564115 .,ОП Платформа 2543 км,  34  км ,  35  км ,,,,,,,,,,,
 15.,564122 .,ОП Ост. Пункт 2545 км,  36  км ,  33  км ,,,,,,,,,,,
 16.,564134 .,ОП Платформа 2547 км,  38  км ,  31  км ,,,,,,,,,,,
 17.,564149 .,ОП Платформа 2551 км,  42  км ,  27  км ,,,,,,,,,,,
 18.,564505 .,Шулавери,  44  км ,  25  км ,,,,,,,,,,,
 19.,564543 .,ОП Платформа 2556 км,  53  км ,  16  км ,,,,,,,,,,,
 20.,564524 .,ОП Платформа 2565 км,  56  км ,  13  км ,,,,,,,,,,,
 21.,564609 .,Садахло,  60  км ,   9  км ,,,,,,,,,,,
 22.,564613 .,ОП Платформа 2577 км,  68  км ,   1  км ,,,,,,,,,,,
 23.,564204 .,Садахло (эксп.),  69  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  7) участок 57-007 ""ОЧАМЧИРЕ - АКАРМАРА"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Очамчире,до ст. Сенаки,,,,,,,,,,,
  1.,573307 .,Очамчире,   0  км ,  79  км ,,,,,,,,,,,
  2.,573311 .,ОП Беслахуба,   7  км ,  86  км ,,,,,,,,,,,
  3.,573326 .,ОП Акуаскиа,  14  км ,  93  км ,,,,,,,,,,,
  4.,573330 .,ОП Гуп,  20  км ,  99  км ,,,,,,,,,,,
  5.,573400 .,Ткварчели,  26  км , 105  км ,,,,,,,,,,,
  6.,573504 .,Акармара,  36  км , 115  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  8) участок 57-008 ""ИНГИРИ - ДЖВАРИ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Ингири,до ст. Сенаки,,,,,,,,,,,
  1.,572802 .,Ингири,   0  км ,  39  км ,,,,,,,,,,,
  2.,572906 .,Зугдиди,   6  км ,  45  км ,,,,,,,,,,,
  3.,572395 .,ОП Лия,  26  км ,  65  км ,,,,,,,,,,,
  4.,573006 .,ОП Джвари,  36  км ,  75  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  9) участок 57-009 ""СЕНАКИ - ПОТИ (ПАРОМ, ЭКСП. НА РУМЫНИЮ)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
