Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Алфавитный список МОРСКИХ портов и пунктов, включенных в прямое смешанное железнодорожно-водное сообщение",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
№ п/п,Порт,Параграфы,Пароходство,Место,Операции,,,,,,,,,,,,,,,
  170.,Посьет,"§ 1, 7",,Японское море,ОП,,,,,,,,,,,,,,,
  171.,Посьет ООО СЛТ,"§ 1,7",-,Японское море залив Петра,,,,,,,,,,,,,,,,
,,,,Ввеликого з. Славянка,ОП,,,,,,,,,,,,,,,
  172.,Поти,"§1, 7",Грузинское,Черное море,ОП,,,,,,,,,,,,,,,
  173.,Провидения,"§ 1, 4, 7",,Берингово море,ОП,,,,,,,,,,,,,,,
  174.,Пымта,§ 7,,Берингово море,ОП,,,,,,,,,,,,,,,
  175.,Рейд бухты Рыбацкой,"§ 3, 4, 5, 6",Среднеазиатское,р. Амударья,ОП,,,,,,,,,,,,,,,
  176.,Рени,§ 1,ГАМРТУ,р. Дунай,ОП,,,,,,,,,,,,,,,
  177.,Ростов-на-Дону ЗАО,"§ 1,7",,Азовское море р. Дон,,,,,,,,,,,,,,,,
,Стивидорная Компания международный морской порт,,,,ОП,,,,,,,,,,,,,,,
  178.,Ростов-на-Дону ООО,1,,Азовское море,,,,,,,,,,,,,,,,
,"""ВнешТоргПорт""",,,,ОП,,,,,,,,,,,,,,,
  179.,Ростов-на-Дону ООО Донской,"§ 1, 7",-,Азовское море р. Дон,,,,,,,,,,,,,,,,
,Порт,,,,ОП,,,,,,,,,,,,,,,
  180.,Рудная Пристань,"§ 3, 5, 6",,Японское море,ОП,,,,,,,,,,,,,,,
  181.,Русаково,"§ 1, 4, 7",,Берингово море,ОП,,,,,,,,,,,,,,,
  182.,Рыбновск,"§ 2, 4, 5, 6, 7",,Татарский пролив,ОП,,,,,,,,,,,,,,,
  183.,Рывеем,"§ 1, 4, 7",,Чукотское море,ОП,,,,,,,,,,,,,,,
  184.,Санкт-Петербург,"§ 1, 7",,Балтийское море,ОП,,,,,,,,,,,,,,,
  185.,Светлый,"§ 3, 5, 6",,На Калининградский морской,,,,,,,,,,,,,,,,
,,,,канал,ОП,,,,,,,,,,,,,,,
  186.,Севастополь,"§ 3, 7",ГАМРТУ,Черное море,ОП,,,,,,,,,,,,,,,
  187.,Северокурильск,"§ 2, 4, 5, 6, 7",,Охотское море,ОП,,,,,,,,,,,,,,,
  188.,Североморск,"§ 2, 5, 6",,Баренцево море,ОП,,,,,,,,,,,,,,,
  189.,Скадовск,"§ 3, 4",ГАМРТУ,Черное море,ОП,,,,,,,,,,,,,,,
  190.,Советская гавань ООО,§ 1,,Татарский пролив,,,,,,,,,,,,,,,,
,Терминал Совгавань,,,,ОП,,,,,,,,,,,,,,,
  191.,Сойда-Губа,"§ 2, 5, 6",,Баренцево море,ОП,,,,,,,,,,,,,,,
  192.,Сочи,§ 2,,Черное море,ОП,,,,,,,,,,,,,,,
  193.,Специализированный морской,§ 1,ГАМРТУ,Черное море,,,,,,,,,,,,,,,,
,порт Оливия,,,,ОП,,,,,,,,,,,,,,,
  194.,Сухуми,§ 2,Грузинское,Черное море,ОП,,,,,,,,,,,,,,,
  195.,Таганрог,"§ 1, 7",,Азовское море,ОП,,,,,,,,,,,,,,,
  196.,Тамань ООО,1,,Черное море,,,,,,,,,,,,,,,,
,"""ОТЭКО-Портсервис""",,,,ОП,,,,,,,,,,,,,,,
  197.,Тельновск,"§ 2, 4, 6",,Японское море,ОП,,,,,,,,,,,,,,,
