Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Южной ж.д. (код дороги 43),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 43-001 ""ХАРЬКОВ-СОРТИРОВОЧНЫЙ - МЕРЕФА"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Харьков-Сортировочный,до ст. Мерефа,,,,,,,,,,,
  3.,428847 .,ОП Остановочная платформа 58 км,   7  км ,  58  км ,,,,,,,,,,,
  4.,428828 .,Звездиловка,   9  км ,  56  км ,,,,,,,,,,,
  5.,428813 .,ОП Ост. Пункт 51 км,  13  км ,  52  км ,,,,,,,,,,,
  6.,428809 .,Галка,  20  км ,  45  км ,,,,,,,,,,,
  7.,428739 .,Яхновка,  32  км ,  33  км ,,,,,,,,,,,
  8.,428724 .,ОП Ост. Пункт 27 км,  38  км ,  27  км ,,,,,,,,,,,
  9.,428705 .,Лосиновка,  44  км ,  21  км ,,,,,,,,,,,
 10.,428710 .,ОП Крапивная,  53  км ,  12  км ,,,,,,,,,,,
 11.,428758 .,ОП Хвылевка,  58  км ,   7  км ,,,,,,,,,,,
 12.,324008 .,Нежин,  65  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 13) участок 43-013 ""ПРИЛУКИ - БАХМАЧ-КИЕВСКИЙ (Юго-Западной ж.д.)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Прилуки,до ст. Бахмач-Киевский,,,,,,,,,,,
  1.,429002 .,Прилуки,   0  км ,  80  км ,,,,,,,,,,,
  2.,429017 .,ОП Ост. Пункт 738 км,   4  км ,  76  км ,,,,,,,,,,,
  3.,429021 .,ОП Заезд,   8  км ,  72  км ,,,,,,,,,,,
  4.,429036 .,ОП Ост. Пункт 732 км,  10  км ,  70  км ,,,,,,,,,,,
  5.,429040 .,ОП Ост. Пункт 729 км,  13  км ,  67  км ,,,,,,,,,,,
  6.,429074 .,ОП Остановочная платформа 727 км,  15  км ,  65  км ,,,,,,,,,,,
  7.,429055 .,Коломейцево (рзд),  19  км ,  61  км ,,,,,,,,,,,
  8.,429068 .,ОП Ост. Пункт 720 км,  22  км ,  58  км ,,,,,,,,,,,
  9.,429106 .,Августовский,  25  км ,  55  км ,,,,,,,,,,,
 10.,429200 .,Ичня,  33  км ,  47  км ,,,,,,,,,,,
 11.,429214 .,ОП Ост. Пункт 702 км,  39  км ,  41  км ,,,,,,,,,,,
 12.,429229 .,ОП Рожновка,  44  км ,  36  км ,,,,,,,,,,,
 13.,429233 .,Бильмачевка (рзд),  52  км ,  28  км ,,,,,,,,,,,
 14.,429318 .,ОП Ост. Пункт 684 км,  60  км ,  20  км ,,,,,,,,,,,
 15.,429337 .,ОП Осиновка,  62  км ,  18  км ,,,,,,,,,,,
 16.,429322 .,Варваровский (рзд),  66  км ,  14  км ,,,,,,,,,,,
 17.,429341 .,ОП Гришки,  69  км ,  11  км ,,,,,,,,,,,
 18.,429356 .,ОП Остановочная платформа 668 км,  74  км ,   6  км ,,,,,,,,,,,
 19.,325903 .,Бахмач-Киевский,  80  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 14) участок 43-014 ""КРЕМЕНЧУГ - БУРТЫ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Кременчуг,до ст. Бурты,,,,,,,,,,,
  1.,425001 .,Кременчуг,   0  км ,  19  км ,,,,,,,,,,,
  2.,425302 .,Крюков-на-Днепре,   4  км ,  15  км ,,,,,,,,,,,
  3.,425317 .,ОП Вагонозавод,   6  км ,  13  км ,,,,,,,,,,,
  4.,425321 .,ОП Малановка,   9  км ,  10  км ,,,,,,,,,,,
  5.,425336 .,ОП Ост. Пункт 270 км,  12  км ,   7  км ,,,,,,,,,,,
  6.,425340 .,ОП Белецковка,  16  км ,   3  км ,,,,,,,,,,,
  7.,425355 .,Бурты,  19  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 15) участок 43-015 ""КРЕМЕНЧУГ - РОМОДАН"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Кременчуг,до ст. Ромодан,,,,,,,,,,,
  1.,425001 .,Кременчуг,   0  км , 114  км ,,,,,,,,,,,
  2.,425016 .,ОП Череднички,   2  км , 112  км ,,,,,,,,,,,
  3.,425073 .,ОП Ост. Пункт 289 км,   3  км , 111  км ,,,,,,,,,,,
  4.,427767 .,ОП Ост. Пункт 287 км,   5  км , 109  км ,,,,,,,,,,,
  5.,427755 .,ОП Рокитная,   7  км , 107  км ,,,,,,,,,,,
  6.,427740 .,ОП Ост. Пункт 283 км,   9  км , 105  км ,,,,,,,,,,,
  7.,427736 .,ОП Ост. Пункт 281 км,  11  км , 103  км ,,,,,,,,,,,
  8.,427721 .,Мазуровка (рзд),  16  км ,  98  км ,,,,,,,,,,,
  9.,427717 .,ОП Ост. Пункт 272 км,  19  км ,  95  км ,,,,,,,,,,,
 10.,427702 .,Рублевка,  24  км ,  90  км ,,,,,,,,,,,
 11.,427628 .,Устиновка (рзд),  33  км ,  81  км ,,,,,,,,,,,
 12.,427613 .,ОП Череваны,  37  км ,  77  км ,,,,,,,,,,,
 13.,427609 .,Глобино,  42  км ,  72  км ,,,,,,,,,,,
 14.,427539 .,Вербки (рзд),  52  км ,  62  км ,,,,,,,,,,,
 15.,427524 .,ОП Ост. Пункт 235 км,  55  км ,  59  км ,,,,,,,,,,,
 16.,427514 .,ОП Ост. Пункт 232 км,  59  км ,  55  км ,,,,,,,,,,,
 17.,427505 .,Веселый Подол,  66  км ,  48  км ,,,,,,,,,,,
 18.,427416 .,Петровка (рзд),  76  км ,  38  км ,,,,,,,,,,,
 19.,427401 .,Хорол,  87  км ,  27  км ,,,,,,,,,,,
 20.,427331 .,ОП Ост. Пункт 196 км,  96  км ,  18  км ,,,,,,,,,,,
 21.,427327 .,Шишаки (рзд), 101  км ,  13  км ,,,,,,,,,,,
 22.,427312 .,ОП Ост. Пункт 185 км, 106  км ,   8  км ,,,,,,,,,,,
 23.,427308 .,Ромодан, 114  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 16) участок 43-016 ""РОМОДАН - БАХМАЧ-ГОМЕЛЬСКИЙ (Юго-Западной ж.д.)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Ромодан,до ст. Бахмач-Гомельский,,,,,,,,,,,
  1.,427308 .,Ромодан,   0  км , 177  км ,,,,,,,,,,,
  2.,427219 .,Дубровский Конный Завод (рзд),  12  км , 165  км ,,,,,,,,,,,
  3.,427223 .,ОП Ост. Пункт 160 км,  17  км , 160  км ,,,,,,,,,,,
  4.,427204 .,Сенча,  25  км , 152  км ,,,,,,,,,,,
