Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Западно-Сибирской ж.д. (код дороги 83),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 83-001 ""НАЗЫВАЕВСКАЯ - КАРБЫШЕВО I"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Называевская,до ст. Карбышево I,,,,,,,,,,,
 12.,840043 .,ОП Белоярский,  38  км ,   6  км ,,,,,,,,,,,
 13.,840039 .,ОП Новобелоярский,  39  км ,   5  км ,,,,,,,,,,,
 14.,840024 .,ОП Велижановка,  41  км ,   3  км ,,,,,,,,,,,
 15.,840013 .,ОП Алтайская Площадка,  42  км ,   2  км ,,,,,,,,,,,
 16.,840005 .,Алтайская,  44  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 13) участок 83-013 ""АЛТАЙСКАЯ - БАРНАУЛ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Алтайская,до ст. Барнаул,,,,,,,,,,,
  1.,840005 .,Алтайская,   0  км ,  15  км ,,,,,,,,,,,
  2.,840132 .,ОП Развилка,   3  км ,  12  км ,,,,,,,,,,,
  3.,840128 .,Присягино,   6  км ,   9  км ,,,,,,,,,,,
  4.,840113 .,ОП БМК,  13  км ,   2  км ,,,,,,,,,,,
  5.,840109 .,Барнаул,  15  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 14) участок 83-014 ""БАРНАУЛ - ЛОКОТЬ (ЭКСП. НА РУБЦОВСК)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Барнаул,до ст. Локоть (эксп. на Рубцовск),,,,,,,,,,,
  1.,840109 .,Барнаул,   0  км , 306  км ,,,,,,,,,,,
  2.,840147 .,ОП Ползуново,   9  км , 297  км ,,,,,,,,,,,
  3.,840151 .,ОП Лебяжье,  14  км , 292  км ,,,,,,,,,,,
  4.,840166 .,ОП Ядринцево,  18  км , 288  км ,,,,,,,,,,,
  5.,840185 .,ОП Ост. Пункт 253 км,  25  км , 281  км ,,,,,,,,,,,
  6.,840190 .,ОП Прудской,  29  км , 277  км ,,,,,,,,,,,
  7.,844612 .,ОП Зимари,  31  км , 275  км ,,,,,,,,,,,
  8.,844631 .,ОП Орбита,  39  км , 267  км ,,,,,,,,,,,
  9.,844608 .,Калманка,  42  км , 264  км ,,,,,,,,,,,
 10.,844557 .,ОП Алтай,  50  км , 256  км ,,,,,,,,,,,
