Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ (в км) МЕЖДУ ТРАНЗИТНЫМИ ПУНКТАМИ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Казахстан,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Конечный пункт маршрута,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Актау-Порт,Актогай,Алимбет (эксп.),Алматы 1,Алтынколь (эксп.),Арыс 1,Астана-1,Бейнеу,Берлик I,Болашак (эксп.),Дины Нурпеисовой (рзд) (эксп.),Достык (эксп.),Екибастуз I,Елимай (обп) (эксп.),Ерейментау,Есиль,Жана-Есиль,Жана-Семей,Жарык,Жетыген,Зерновая (эксп.),Золотая Сопка (эксп.),Илецк I (эксп.),Кандыагаш,Караганда-Сортировочная,Караганды,Кокшетау I,Костанай,Куркамыс (эксп.),Курык-Порт,Кызылжар,Локоть (эксп. на Малиновое Озеро),Макат,Мангистау,Мойынты,Никельтау,Новоустькаменогорск,Оазис (рзд) (эксп.),Оскемен-1,Павлодар,Петропавловск (эксп.),Сарыагаш (эксп.),Сексеул,Семей,Семиглавый Мар (эксп.),Сороковая,Тараз,Тобол,Турксиб (эксп.),Шагыр (эксп.),Шалкар,Шар,Шымкент
№ п/п,Начальный пункт маршрута,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
44,Семей,3148,468,2032,1025,1275,1850,772,2740,1328,3470,2891,786,466,1541,633,1148,1256,8,1110,982,1426,1645,2378,2089,966,989,1068,1479,499,3217,1364,119,2481,3144,992,1954,267,2819,279,382,1263,1981,2076,0,2759,760,1568,1436,1451,1886,2241,116,1771
45,Семиглавый Мар (эксп.),1770,2813,883,2828,3164,2003,1987,1362,2525,2092,1472,3122,2293,1428,2126,1611,1642,2754,2074,2871,1812,1585,381,670,2205,2195,1830,1419,2542,1839,1820,2878,1062,1766,2289,805,3013,1441,3025,2425,2025,2134,1108,2759,0,1999,2285,1323,2402,2039,943,2862,2082
46,Сороковая,2388,1089,1272,1306,1642,1525,12,1980,1003,2710,2131,1398,294,781,127,388,496,755,350,1349,666,885,1618,1329,206,229,308,719,543,2457,604,879,1721,2384,565,1194,1014,2059,1026,426,503,1656,1316,760,1999,0,1243,676,1126,1561,1481,863,1446
47,Тараз,2249,1100,1828,543,879,282,1255,1841,240,2571,2417,1407,1537,2024,1370,1631,1739,1560,893,586,1909,2128,1904,1615,1037,1014,1551,1962,1786,2318,1147,1687,2007,2245,678,1750,1603,1920,1615,1669,1746,413,1177,1568,2285,1243,0,1919,117,318,1342,1452,203
48,Тобол,1753,1765,596,1982,2318,1986,664,1345,1679,2075,1455,2074,970,105,803,288,319,1431,1026,2025,489,262,942,653,882,905,507,96,1219,1822,1280,1555,1045,1749,1241,518,1690,1424,1702,1102,702,2117,1091,1436,1323,676,1919,0,1802,2022,926,1539,2065
49,Турксиб (эксп.),2366,983,1945,426,762,399,1138,1958,123,2688,2534,1290,1420,1907,1253,1514,1622,1443,776,469,1792,2011,2021,1732,920,897,1434,1845,1669,2435,1030,1570,2124,2362,561,1867,1486,2037,1498,1552,1629,530,1294,1451,2402,1126,117,1802,0,435,1459,1335,320
50,Шагыр (эксп.),2003,1418,1582,861,1197,36,1573,1595,558,2325,2171,1725,1855,2127,1688,1949,2057,1878,1211,904,2227,2284,1658,1369,1355,1332,1869,2118,2104,2072,1465,2005,1761,1999,996,1504,1921,1674,1933,1987,2064,95,931,1886,2039,1561,318,2022,435,0,1096,1770,115
51,Шалкар,907,1870,486,1885,2221,1060,1493,499,1582,1229,1075,2179,1775,1031,1608,1214,1245,2236,1131,1928,1415,1188,562,273,1275,1252,1433,1022,2024,976,877,2360,665,903,1346,408,2373,578,2385,1907,1628,1191,165,2241,943,1481,1342,926,1459,1096,0,2222,1139
52,Шар,3129,352,2135,909,1159,1734,875,2721,1212,3451,2994,670,569,1644,736,1251,1359,108,1091,866,1529,1748,2481,2192,1069,1092,1171,1582,602,3198,1345,235,2584,3125,876,2057,151,2800,163,485,1366,1865,2057,116,2862,863,1452,1539,1335,1770,2222,0,1655
53,Шымкент,2046,1303,1625,746,1082,79,1458,1638,443,2368,2214,1610,1740,2170,1573,1834,1942,1763,1096,789,2112,2327,1701,1412,1240,1217,1754,2161,1989,2115,1350,1890,1804,2042,881,1547,1806,1717,1818,1872,1949,210,974,1771,2082,1446,203,2065,320,115,1139,1655,0
