Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Горьковской ж.д. (код дороги 24),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 24-001 ""ПЕТУШКИ - ВЛАДИМИР"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Петушки,до ст. Владимир,,,,,,,,,,,
 29.,245516 .,ОП ТЕХНИКУМ, 221  км ,  34  км ,,,,,,,,,,,
 30.,245520 .,ОП Апнерка, 227  км ,  28  км ,,,,,,,,,,,
 31.,245535 .,ОП НОВЫЕ АЧАКСЫ, 233  км ,  22  км ,,,,,,,,,,,
 32.,245546 .,ОП Ачакс, 236  км ,  19  км ,,,,,,,,,,,
 33.,245554 .,ОП ТУРУНОВО, 241  км ,  14  км ,,,,,,,,,,,
 34.,245569 .,ОП Мокры, 245  км ,  10  км ,,,,,,,,,,,
 35.,245573 .,ОП КАРМАМЕЙ, 250  км ,   5  км ,,,,,,,,,,,
 36.,248105 .,Канаш, 255  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 13) участок 24-013 ""КАНАШ - СВИЯЖСК"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Канаш,до ст. Свияжск,,,,,,,,,,,
  1.,248105 .,Канаш,   0  км ,  84  км ,,,,,,,,,,,
  2.,248158 .,ОП Алешево,   7  км ,  77  км ,,,,,,,,,,,
  3.,248162 .,ОП Кибечи,  13  км ,  71  км ,,,,,,,,,,,
  4.,248177 .,ОП МАЛЫЕ КИБЕЧИ,  17  км ,  67  км ,,,,,,,,,,,
  5.,248730 .,Шоркистры,  24  км ,  60  км ,,,,,,,,,,,
  6.,248711 .,ОП Батеево,  30  км ,  54  км ,,,,,,,,,,,
  7.,248726 .,ОП Чубаево,  32  км ,  52  км ,,,,,,,,,,,
  8.,248800 .,Урмары,  39  км ,  45  км ,,,,,,,,,,,
  9.,248815 .,ОП Тансарино,  44  км ,  40  км ,,,,,,,,,,,
 10.,248823 .,ОП Чешлама,  51  км ,  33  км ,,,,,,,,,,,
 11.,248834 .,ОП КАЗАКОВО,  56  км ,  28  км ,,,,,,,,,,,
 12.,248904 .,Тюрлема,  61  км ,  23  км ,,,,,,,,,,,
 13.,248919 .,ОП Воробьевский,  68  км ,  16  км ,,,,,,,,,,,
 14.,248923 .,ОП Ширданы,  72  км ,  12  км ,,,,,,,,,,,
 15.,248938 .,ОП Андреевский,  79  км ,   5  км ,,,,,,,,,,,
 16.,249004 .,Свияжск,  84  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
