Четверг 25 сен.2025г.  17:59,,,,,
,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,
,,,,,
"АЛФАВИТНЫЙ СПИСОК РАЗДЕЛЬНЫХ ПУНКТОВ (станций, разъездов, постов, блокпостов и обгонных пунктов)",,,,,
№ п/п,Наименование пункта,Операции,Дорога,Транзитные пукты и расстояния до них,Код станции
 3701.,Каменное Поле (рзд),Б,45 Придн (У),"456809 Пятихатки - 38км, 467004 Кривой Рог-Главный - 41км",457159
 3702.,Каменный Бродик (рзд),О,83 З-Сиб (Р),"870405 Юрга I - 96км, 871107 Топки - 9км",870918
 3703.,Каменный Мост,П 1,40 Од (У),"406802 Подольск - 119км, 407906 Слободка - 121км, 412302 Подгородная - 36км",407408
 3704.,Каменоломни,"Б 1,3",51 С-Кав (Р),"512708 Горная - 20км, 513607 Кизитеринка - 64км",513109
 3705.,Каменск-Уральский,"П 1,2,3,4",76 Сверд (Р),ТП,795100
 3706.,Каменская,"П 1,2,3,4,8",51 С-Кав (Р),"580003 Лихая - 24км, 586504 Миллерово - 71км",587206
 3707.,Каменское,О 3,45 Придн (У),"452009 Новомосковск-Днепровский - 63км, 456007 Запорожье-Каменское - 10км",455806
 3708.,Каменское-Пассажирское,П,45 Придн (У),"456007 Запорожье-Каменское - 4км, 456404 Верховцево - 35км",456033
 3709.,Каменушка,О,96 Д-Вост (Р),"970406 Хабаровск I - 174км, 974801 Сибирцево - 412км",972045
 3710.,Камень-Каширский,"Б 1,3",35 Льв (У),"354003 Ковель - 53км, 354200 Заболотье - 105км",354605
 3711.,Камень-на-Оби,"П 1,2,3",83 З-Сиб (Р),"835558 Осолодино (обп) - 232км, 840804 Среднесибирская - 158км",836601
 3712.,Камень-Рыболов,"Б 1,2,3,4",96 Д-Вост (Р),974801 Сибирцево - 77км,975306
 3713.,Камеральный (рзд),Х,76 Сверд (Р),790408 Войновка - 834км,797750
 3714.,Каминский,Б,28 Сев (Р),316302 Ермолино - 15км,316355
 3715.,Камка,"Б 1,3",32 Ю-Зап (У),"326003 Бахмач-Пассажирский - 108км, 327260 Хоробичи - 28км",327006
 3716.,Камнега (рзд),О,96 Д-Вост (Р),"910000 Тында - 518км, 917103 Новый Ургал - 433км",915729
 3717.,Камчиха (обп),О,80 Ю-Ур (Р),"827000 Утяк - 12км, 828501 Курган - 8км",828520
 3718.,Камыссай ,О 3,68 Кзх,"660007 Кандыагаш - 134км, 666501 Илецк I (эксп.) - 155км",667006
 3719.,Камыстыбас,Б 3,68 Кзх,"670102 Сексеул - 127км, 698004 Арыс 1 - 768км",670403
 3720.,Камыш-Заря,П 3,45 Придн (У),ТП,462405
 3721.,Камыш-Заря,,82 82-я дорога,ТП,821004
 3722.,Камышеваха,Б,48 Дон (У),"496007 Попасная - 9км, 497813 Венгеровка - 5км",497847
 3723.,Камышеваха,Б,84 84-я дорога,"838202 Попасная - 9км, 838541 Венгеровка - 5км",838575
 3724.,Камышевка,Х,55 Азерб,"552620 Османлы-Новые - 168км, 554109 Астара - 15км",554005
 3725.,Камышет,П,92 В-Сиб (Р),"920002 Тайшет - 114км, 930108 Иркутск-Пассажирский - 556км",920958
 3726.,Камышин,"П 1,3,8",61 Прив (Р),621801 Петров Вал - 19км,623008
 3727.,Камышин (перев.),,61 Прив (Р),,623205
 3728.,Камышин (эксп.),,61 Прив (Р),,623101
 3729.,Камышлов,"Б 1,3,5",76 Сверд (Р),"790003 Тюмень - 183км, 793209 Богданович - 44км",792901
 3730.,Камышовая,"1,2,5,8,10",96 Д-Вост (Р),"987106 Хасан (эксп.) - 33км, 988402 Барановский - 208км",979608
 3731.,Камышовая (эксп.),,96 Д-Вост (Р),"987106 Хасан (эксп.) - 51км, 988402 Барановский - 226км",979504
 3732.,Камышовая Бухта,"3,8н,10н,11н,",45 Придн (У),ТП,472905
,,12н,,,
 3733.,Камышовая Бухта,"3,8н,10н,11н,",85 Крым (Р),ТП,858507
,,12н,,,
 3734.,Камышовая Бухта (эксп.),,45 Придн (У),,472407
 3735.,Камышовая Бухта (эксп.),,85 Крым (Р),,858600
 3736.,Камышта,"П 3,8н,10н,11н,",88 Крас (Р),"864601 Томусинская - 278км, 887675 Тигей - 49км",887603
,,12н,,,
 3737.,Камяница,"П 1,3",35 Льв (У),381000 Ужгород - 13км,381509
 3738.,Канадей,Б,63 Кбш (Р),"630105 Пенза I - 189км, 635448 Новообразцовое - 55км",635236
 3739.,Канаевка,"Б 1,3",63 Кбш (Р),"630105 Пенза I - 49км, 635448 Новообразцовое - 195км",634002
 3740.,Канакер,"О 1,3",56 Ю-Кав,"567400 Масис - 73км, 567804 Ереван - 87км",568008
 3741.,Канал (рзд),О,63 Кбш (Р),"636807 Жигулевское Море - 7км, 657803 Безымянка - 78км",636811
 3742.,Каналстрой,О 3,17 Моск (Р),"051106 Сонково - 190км, 238404 Дмитров - 6км",238508
 3743.,Канальная,Б,61 Прив (Р),"519105 Куберле - 250км, 611405 Волгоград II - 44км",612342
 3744.,Канатово,Б 3,40 Од (У),"411102 Чернолесская - 26км, 411901 Помошная - 98км",411306
 3745.,Канатчиково,Х,17 Моск (Р),000015 Московский узел - 54км,198372
 3746.,Канаш,"П 1,2,3,4,5",24 Горьк (Р),ТП,248105
 3747.,Кандава,"О 1,3",09 Лат,"097504 Тукумс II - 24км, 098206 Вентспилс - 84км",097805
 3748.,Кандалакша,"Б 1,3,8н,10н",01 Окт (Р),ТП,014906
 3749.,Кандалакша (перев.),,01 Окт (Р),"014906 Кандалакша - 0км, 018409 Мурманск - 272км",015006
 3750.,Кандалакша (эксп.),,01 Окт (Р),"014906 Кандалакша - 0км, 018409 Мурманск - 272км",015701
 3751.,Кандиевка (рзд),О,63 Кбш (Р),"630105 Пенза I - 177км, 632401 Вернадовка - 41км",632825
 3752.,Кандры,Б 3,63 Кбш (Р),"647523 Акбаш - 138км, 651506 Чишмы - 97км",651205
 3753.,Кандуровка,Б 3,80 Ю-Ур (Р),"812503 Сакмарская - 111км, 814301 Никель - 179км",813101
 3754.,Кандыагаш,"П 1,3,4",68 Кзх,ТП,660007
 3755.,Каневская,"П 1,3,11н",51 С-Кав (Р),"515706 Староминская-Ейская - 53км, 516200 Тимашевская - 54км",516003
 3756.,Канеловский (рзд),О,51 С-Кав (Р),"510007 Батайск - 79км, 515706 Староминская-Ейская - 17км",515725
 3757.,Канзыба,3,88 Крас (Р),889100 Саянская - 238км,888606
 3758.,Канибадам,"П 1,2,3,4,5,8,9,",74 Тадж,ТП,748006
,,10,,,
 3759.,Канибадам (эксп.),,74 Тадж,ТП,748106
 3760.,Канимех,"1,3,10",73 Узбк,"731306 Навои - 41км, 739806 Мискин - 460км",731503
 3761.,Канисай (рзд),О,80 Ю-Ур (Р),"811905 Оренбург - 69км, 813008 Канисай (рзд) (эксп.) - 8км",812325
 3762.,Канисай (рзд) (эксп.),,80 Ю-Ур (Р),ТП,813008
 3763.,Канифольная,Б 3,88 Крас (Р),"892705 Уяр - 241км, 920002 Тайшет - 80км",894306
 3764.,Канкриновка,П,45 Придн (У),"460700 Запорожье I - 18км, 461900 Таврическ - 29км",462053
 3765.,Каннельярви,Б 1,01 Окт (Р),"020004 Выборг - 54км, 039208 Белоостров - 44км",039602
 3766.,Канск-Енисейский,"П 1,2,3,4,6,8,",88 Крас (Р),"892705 Уяр - 116км, 920002 Тайшет - 171км",893500
,,"8н,10,10н,11,11н,12,12н",,,
 3767.,Кант,"П 1,3,4",70 Кирг,,717008
 3768.,Кантемир,О,40 Од (У),"403206 Белгород-Днестровский - 22км, 403905 Арцыз - 68км",406509
 3769.,Кантемировка,"П 1,3,4,5",58 Ю-Вост (Р),"582005 Лиски - 181км, 586504 Миллерово - 116км",586006
 3770.,Канцеровка,П 3,45 Придн (У),"460005 Запорожье-Левое - 28км, 466603 Апостолово - 117км",465302
 3771.,Канчерово,Б,80 Ю-Ур (Р),"812503 Сакмарская - 142км, 814301 Никель - 148км",813351
 3772.,Капитановка,Б 3,40 Од (У),"411901 Помошная - 87км, 420008 Им. Тараса Шевченко - 42км",423400
 3773.,Капитолово,"О 3,8н",01 Окт (Р),"022404 Хийтола - 155км, 038101 Ручьи - 11км",038008
 3774.,Капустин Яр,"О 3,5",61 Прив (Р),"610900 Разгуляевка - 114км, 618207 Верхний Баскунчак - 88км",616108
 3775.,Капустино,Б 3,40 Од (У),"411901 Помошная - 31км, 420008 Им. Тараса Шевченко - 98км",423701
 3776.,Капчагай,"Б 3,8н,10н",68 Кзх,"700505 Жетыген - 28км, 708009 Актогай - 486км, 708507 Достык (эксп.) - 793км",700702
 3777.,Капчалы,О,88 Крас (Р),"880002 Ачинск I - 407км, 887675 Тигей - 28км",886278
 3778.,Кара-Адыр,"О 3,7",68 Кзх,"680000 Есиль - 293км, 690002 Астана-1 - 83км",690905
 3779.,Кара-Баглы (рзд),О,51 С-Кав (Р),"542205 Кизляр - 29км, 617505 Аксарайская - 368км",542046
 3780.,Кара-Гуга,Б,80 Ю-Ур (Р),"820105 Петропавловск (эксп.) - 106км, 830304 Карбышево I - 162км",825166
 3781.,Кара-Джалка (рзд),Б,51 С-Кав (Р),"530208 Армавир-Ростовский - 14км, 533403 Туапсе-Сортировочная - 220км",536011
 3782.,Карабалта,"П 1,2,3,4,8н,9,",70 Кирг,716607 Бишкек I - 58км,715905
,,10н,,,
 3783.,Карабалык,О 3,68 Кзх,"684001 Костанай - 135км, 682203 Золотая Сопка (эксп.) - 49км",684904
 3784.,Карабас,Б 3,68 Кзх,"673905 Караганды - 30км, 675905 Жарык - 91км",675407
 3785.,Карабатано,"Б 1,3,8н,10н",68 Кзх,"661103 Макат - 90км, 662002 Дины Нурпеисовой (рзд) (эксп.) - 320км",661207
 3786.,Карабекаул,П,75 Трк,"750006 Туркменабад I - 93км, 751309 Мары - 314км",759509
 3787.,Карабуджак,О,55 Азерб,"554202 Гаджигабул - 86км, 558701 Беюк-Кясик (эксп.) - 290км",554611
 3788.,Карабула,"П 3,8н,10н,11н,",88 Крас (Р),"892705 Уяр - 483км, 920002 Тайшет - 322км",895807
,,12н,,,
 3789.,Карабулак,П 3,61 Прив (Р),"608807 Аткарск - 138км, 624000 Сенная - 61км",609602
 3790.,Карабулак,О 3,68 Кзх,"700505 Жетыген - 287км, 708009 Актогай - 339км, 708507 Достык (эксп.) - 646км",701705
 3791.,Карабулакский,"Б 1,3,8н,10н",51 С-Кав (Р),537601 Прохладная - 122км,540500
 3792.,Караван (рзд),О,43 Южн (У),"441108 Мерефа - 31км, 441606 Красноград - 45км",441822
 3793.,Караванная,Х,48 Дон (У),"480507 Рутченково - 23км, 483806 Ларино - 7км, 486202 Волноваха - 51км",484404
 3794.,Караванная,Х,89 89-я дорога,"899117 Ларино - 7км, 897304 Рутченково - 23км, 900704 Волноваха - 22км",899511
 3795.,Карагай,"О 3,7,8н,10н",68 Кзх,"685707 Жана-Есиль - 142км, 687008 Кокшетау I - 46км",686902
 3796.,Карагайка,О,76 Сверд (Р),790408 Войновка - 338км,796527
 3797.,Карагайка (рзд),О,63 Кбш (Р),"652000 Карламан - 196км, 812503 Сакмарская - 123км",653338
 3798.,Карагайлы,"Б 1,3",68 Кзх,"673007 Караганда-Сортировочная - 257км, 690200 Сороковая - 445км",675206
 3799.,Карагалинская,О 3,68 Кзх,"684001 Костанай - 91км, 685707 Жана-Есиль - 132км",685305
 3800.,Караганда-Сортировочная,"Б 1,3",68 Кзх,ТП,673007
 3801.,Караганда-Угольная,О 3,68 Кзх,673007 Караганда-Сортировочная - 14км,674000
 3802.,Караганды,"П 1,2,3,5,8,8н,",68 Кзх,ТП,673905
,,"9,10н",,,
 3803.,Караганозек,О 3,68 Кзх,"673905 Караганды - 5км, 675905 Жарык - 116км",675303
 3804.,Карагюна (рзд),Х,55 Азерб,"548502 Алят - 36км, 552705 Ширван - 12км",552716
 3805.,Карадаг,"П 1,3",55 Азерб,"546808 Баладжары - 31км, 548502 Алят - 38км",548201
 3806.,Карадаг (терминал),,55 Азерб,,549702
 3807.,Каражал,"П 1,3",68 Кзх,"675905 Жарык - 205км, 676700 Кызылжар - 181км",676401
 3808.,Каражингил,О,68 Кзх,"677309 Мойынты - 41км, 704703 Берлик I - 397км",705617
 3809.,Караирим (рзд),О,68 Кзх,"670102 Сексеул - 416км, 698004 Арыс 1 - 479км",670973
 3810.,Карай,О,88 Крас (Р),"864601 Томусинская - 36км, 887675 Тигей - 291км",886333
 3811.,Карайманлы (рзд),О,55 Азерб,"552620 Османлы-Новые - 64км, 554109 Астара - 153км",553144
 3812.,Каракалпакстан,"П 1,8,10",73 Узбк,"736808 Каракалпакстан (эксп.) - 20км, 737800 Найманкуль (эксп.) - 411км",736901
 3813.,Каракалпакстан (эксп.),,73 Узбк,ТП,736808
 3814.,Каракатта,"О 1,10",73 Узбк,"731306 Навои - 140км, 739806 Мискин - 361км",731700
 3815.,Каракерт,"Б 1,3,9",56 Ю-Кав,"565809 Гюмри - 81км, 567400 Масис - 59км",566708
 3816.,Каракеткен,О,68 Кзх,"670102 Сексеул - 402км, 698004 Арыс 1 - 493км",670954
 3817.,Каракия,"Б 1,3",68 Кзх,"663306 Мангистау - 71км, 664703 Болашак (эксп.) - 255км, 691607 Курык-Порт - 52км",663607
 3818.,Караконыр,П 3,68 Кзх,"670102 Сексеул - 868км, 698004 Арыс 1 - 27км",697603
 3819.,Каракуба,Б 3,48 Дон (У),"487210 Квашино - 57км, 487807 Иловайск - 46км",487605
 3820.,Каракуба,Б 3,89 89-я дорога,"901707 Иловайск - 46км, 901302 Квашино (стык) - 57км",901603
 3821.,Каракуль,"П 1,3,8н,10,10н",73 Узбк,"730002 Бухара I - 69км, 730801 Ходжадавлет (эксп.) - 29км",730604
 3822.,Каракультас,Б,68 Кзх,"708009 Актогай - 222км, 709105 Шар - 130км",708827
 3823.,Каракум,Б 3,68 Кзх,"700505 Жетыген - 497км, 708009 Актогай - 17км, 708507 Достык (эксп.) - 324км",702708
 3824.,Карамбай,Б,24 Горьк (Р),"251004 Дербышки - 257км, 254905 Агрыз - 30км",254727
 3825.,Карамурын,О 3,68 Кзх,"673905 Караганды - 70км, 675905 Жарык - 51км",675801
 3826.,Карамыш,"П 1,3",61 Прив (Р),"620508 Саратов II-Товарный - 87км, 621801 Петров Вал - 114км",621303
 3827.,Карамышево,О,01 Окт (Р),"056701 Дно - 74км, 070605 Псков-Пассажирский - 25км",070056
